measure,english,draft_esla,edited_esla,esla_for_backtranslation,backtranslated_esla,reconciled_esla,final_esla,revised_esla_2023-04
CHEXI,CHILDHOOD EXECUTIVE FUNCTIONING INVENTORY (CHEXI),CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA INFANTES (CHEXI),n/a,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA INFANTES (CHEXI),EXECUTIVE FUNCTIONING QUESTIONNAIRE FOR CHILDREN (CHEXI),,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA INFANTES (CHEXI),
CHEXI,FOR PARENTS AND TEACHERS,PARA PADRES Y PROFESORES,n/a,PARA PADRES Y PROFESORES,FOR PARENTS AND TEACHERS,,PARA PADRES Y PROFESORES,
CHEXI,"Below, you will find a number of statements. ",(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),"A continuación, va a encontrar una serie de declaraciones.",
CHEXI,Please read each statement carefully and thereafter indicate how well that statement is true for the child. ,Por favor lea cada declaración cuidadosamente y después indique el nivel de certeza de cada afirmación en relación al niño en cuestión. ,n/a,Por favor lea cada declaración cuidadosamente y después indique el nivel de certeza de cada afirmación en relación al niño en cuestión. ,Please read every statement carefully and later indicate how true each statement is in relation to the child in question.,,Por favor lea cada declaración cuidadosamente y después indique el nivel de certeza de cada afirmación en relación al niño en cuestión. ,
CHEXI,You indicate your response by circling one of the numbers (from 1 to 5) after each statement.,Marque su respuesta circulando uno de los números (del 1 al 5) después de cada declaración,n/a,Marque su respuesta circulando uno de los números (del 1 al 5) después de cada declaración,Mark your response by circling one of the numbers (from 1 to 5) after each statement.,,Marque su respuesta circulando uno de los números (del 1 al 5) después de cada declaración.,
CHEXI,Definitely not true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Definitivamente no es cierto,
CHEXI,Not true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),No es cierto,
CHEXI,Partially true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Mas o menos cierto,
CHEXI,TRUE,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Cierto,
CHEXI,Definitely true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Definitivamente cierto,
CHEXI,Has difficulty remembering lengthy instructions,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Tiene dificultades en recordar instrucciones largas.,
CHEXI,Seldom seems to be able to motivate him-/herself to do something that he/she doesn’t want to do,Rara vez parece ser capaz de motivarse a sí mismo/a para hacer algo que no quiere hacer,n/a,Rara vez parece ser capaz de motivarse a sí mismo/a para hacer algo que no quiere hacer,Rarely seems to be able to motivate him/herself to do something that he/she does not want to do,,Rara vez parece ser capaz de motivarse a sí mismo/a para hacer algo que no quiere hacer.,
CHEXI,"Has difficulty remembering what he/she is doing, in the middle of an activity",Tiene dificultades en recordar lo que él/ella esta haciendo en mitad de una actividad,n/a,Tiene dificultades en recordar lo que él/ella esta haciendo en mitad de una actividad,Has difficulty in remembering what he/she is doing in the middle of an activity,,Tiene dificultades en recordar lo que él/ella esta haciendo en mitad de una actividad.,
CHEXI,Has difficulty following through on less appealing tasks unless he/she is promised some type of reward for doing so,Tiene dificultad para realizar tareas menos interesantes a menos que se le prometa a él/ella algún tipo de recompensa por hacerlo,n/a,Tiene dificultad para realizar tareas menos interesantes a menos que se le prometa a él/ella algún tipo de recompensa por hacerlo,Has difficulty doing tasks that are less interesting unless he/she is promised some kind of recompensation for doing it.,"Following through v doing? -- ok, no change needed.
Appealing v interesting? -- ok, no change needed.",Tiene dificultad para realizar tareas menos interesantes a menos que se le prometa a él/ella algún tipo de recompensa por hacerlo.,
CHEXI,Has a tendency to do things without first thinking about what could happen,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Tiende a hacer cosas sin primero pensar en las consecuencias.,
CHEXI,"When asked to do several things, he/she only remembers the first or last","Cuando alguien le pide a él/ella que haga varias cosas, aveces solo recuerda la primera o la última",n/a,"Cuando alguien le pide a él/ella que haga varias cosas, aveces solo recuerda la primera o la última","When someone asks him/her to do multiple things, he/she sometimes remembers only the first or last.","Sometimes? (although this appears to be an error in the EN as ADEXI includes ""sometimes"")","Cuando alguien le pide a él/ella que haga varias cosas, solo recuerda la primera o la última.",
CHEXI,Has difficulty coming up with a different way of solving a problem when he/she gets stuck,Tiene dificultades para encontrar una forma diferente de resolver un problema cuando él/ella se bloquea,n/a,Tiene dificultades para encontrar una forma diferente de resolver un problema cuando él/ella se bloquea,Has difficulty in finding a different way to solve a problem when he/she get stuck. ,,Tiene dificultades para encontrar una forma diferente de resolver un problema cuando él/ella se bloquea.,
CHEXI,"When something needs to be done, he/she is often distracted by something more appealing","Cuándo es necesario hacer algo, a menudo se distrae con algo mas interesante",n/a,"Cuándo es necesario hacer algo, a menudo se distrae con algo mas interesante","When he/she has to do something, he/she is often distracted with something more interesting","Appealing v interesting? -- ok, no change needed.","Cuando es necesario hacer algo, a menudo se distrae con algo mas interesante.",
CHEXI,Easily forgets what he/she is asked to fetch,Olvida fácilmente lo que se le pide que busque,n/a,Olvida fácilmente lo que se le pide que busque,Easily forgets what he/she is asked to find,Fetch v find?,Olvida fácilmente lo que se le pide que traiga.,
CHEXI,"Gets overly excited when something special is going to happen (e.g., going on a field trip, going to a party)","Se emociona demasiado cuando va a suceder algo especial (ej., ir de excursión, ir a una fiesta)",n/a,"Se emociona demasiado cuando va a suceder algo especial (ej., ir de excursión, ir a una fiesta)","Gets overly emotional when something special is going to happen (e.g., going on a trip. going to a party)","Excited v emotional? -- ok, no change needed.
Field trip v trip?","Se emociona demasiado cuando va a suceder algo especial (ej., ir de excursión escolar, ir a una fiesta).",
CHEXI,Has clear difficulties doing things he/she finds boring,Tiene claras dificultades para hacer cosas que le resultan aburridas,n/a,Tiene claras dificultades para hacer cosas que le resultan aburridas,Has clear difficulties in doing things he/she finds boring.,,Tiene claras dificultades para hacer cosas que le resultan aburridas.,
CHEXI,"Has difficulty planning for an activity (e.g., remembering to bring everything necessary for a field trip or things needed for school)","Tiene dificultad para planificar una actividad (ej., recordar llevar todo lo necesario cuando va de excursión o cosas que necesita para la escuela)",n/a,"Tiene dificultad para planificar una actividad (ej., recordar llevar todo lo necesario cuando va de excursión o cosas que necesita para la escuela)","Has difficulties planning for an activity (e.g., remembering to bring everything necessary when going on a trip or things needed for school)",Field trip v trip?,"Tiene dificultad para planificar una actividad (ej., recordar llevar todo lo necesario cuando va de excursión escolar o cosas que necesita para la escuela).",
CHEXI,Has difficulty holding back his/her activity despite being told to do so,Tiene dificultad para retener su actividad a pesar de que le digan que lo haga,n/a,Tiene dificultad para retener su actividad a pesar de que le digan que lo haga,Has difficulty holding back his/her activity despite being told to do so,,Tiene dificultad para retener su actividad a pesar de que le digan que lo haga.,
CHEXI,"Has difficulty carrying out activities that require several steps (e.g., for younger children, getting completely dressed without reminders; for older children, doing all homework independently)","Tiene dificultad para realizar actividades que requieren varios pasos (ej., para los niños más pequeños, vestirse completamente sin recordatorios; para los niños mas mayores, hacer todas las tareas de forma independiente)",n/a,"Tiene dificultad para realizar actividades que requieren varios pasos (ej., para los niños más pequeños, vestirse completamente sin recordatorios; para los niños mas mayores, hacer todas las tareas de forma independiente)","Has difficulty starting activities that require multiple steps (e.g., for younger children, getting completely dressed without reminders; for older children, doing all homework independently)","Carrying out v starting? -- ok, no change needed.","Tiene dificultad para realizar actividades que requieren varios pasos (ej., para los niños más pequeños, vestirse completamente sin recordatorios; para los niños mas mayores, hacer todas las tareas de forma independiente).",
CHEXI,"In order to be able to concentrate, he/she must find the task appealing","Para poder concentrarse, debe encontrar la tarea interesante",n/a,"Para poder concentrarse, debe encontrar la tarea interesante","To be able to concentrate, he/she must find the task interesting","Appealing v interesting? -- ok, no change needed.","Para poder concentrarse, debe encontrar la tarea interesante.",
CHEXI,Has difficulty refraining from smiling or laughing in situations where it is inappropriate,Tiene dificultad para abstenerse de sonreír o reír en situaciones inapropiadas,n/a,Tiene dificultad para abstenerse de sonreír o reír en situaciones inapropiadas,Has difficulting refraining from smiling or laughing in inappropriate situations,,Tiene dificultad para abstenerse de sonreír o reír en situaciones inapropiadas.,
CHEXI,Has difficulty telling a story about something that has happened so that others may easily understand,Tiene dificultad para contar una historia sobre algo que ha sucedido para que otros puedan entenderlo fácilmente,Tiene dificultad contando una historia sobre algo que ha sucedido para que otros puedan entenderlo fácilmente,Tiene dificultad contando una historia sobre algo que ha sucedido para que otros puedan entenderlo fácilmente,Has difficulty telling a story about something that has occurred so that others can easily understand.,,Tiene dificultad contando una historia sobre algo que ha sucedido para que otros puedan entenderlo fácilmente.,
CHEXI,"Has difficulty stopping an activity immediately upon being told to do so. For example, he/she needs to jump a couple of extra times or play on the computer a little bit longer after being asked to stop","Tiene dificultad para detener una actividad inmediatamente después de que se le indique. Por ejemplo, necesita saltar un par de veces más o jugar en la computadora un poco más después de que se le pide que se detenga.",n/a,"Tiene dificultad para detener una actividad inmediatamente después de que se le indique. Por ejemplo, necesita saltar un par de veces más o jugar en la computadora un poco más después de que se le pide que se detenga.","Has difficulty stopping an activity immediately after being told to do so. For example, he/she needs to jump a few times more or play on the computer a little bit longer after being asked to stop.",,"Tiene dificultad para detener una actividad inmediatamente después de que se le indique. Por ejemplo, necesita saltar un par de veces más o jugar en la computadora un poco más después de que se le pide que se detenga.",
CHEXI,Has difficulty understanding verbal instructions unless he/she is also shown how to do something,Tiene dificultad para entender instrucciones verbales a menos que también se le enseñe a el/ella cómo hacerlo,n/a,Tiene dificultad para entender instrucciones verbales a menos que también se le enseñe a el/ella cómo hacerlo,Has difficulty understanding verbal instructions unless he/she is also shown how to do it.,,Tiene dificultad para entender instrucciones verbales a menos que también se le enseñe a el/ella cómo hacerlo.,Tiene dificultad para entender instrucciones verbales a menos que también se le enseñe a él/ella cómo hacerlo.
CHEXI,Has difficulty with tasks or activities that involve several steps,Tiene dificultades con tareas o actividades que incluyen varios pasos,n/a,Tiene dificultades con tareas o actividades que incluyen varios pasos,Has difficulties with tasks or activities that involve multiple steps.,,Tiene dificultades con tareas o actividades que incluyen varios pasos.,
CHEXI,Has difficulty thinking ahead or learning from experience,Tiene dificultad para pensar con anticipación o aprender de la experiencia,n/a,Tiene dificultad para pensar con anticipación o aprender de la experiencia,Has difficulty thinking ahead or learning from experience.,,Tiene dificultad para pensar con anticipación o aprender de la experiencia.,
CHEXI,"Acts in a wilder way compared to other children in a group (e.g., at a birthday party or during a group activity)","Actúa de una manera mas alocado/a en comparación con otros niños en un grupo (ej., en una fiesta de cumpleaños o durante una actividad grupal)",n/a,"Actúa de una manera mas alocado/a en comparación con otros niños en un grupo (ej., en una fiesta de cumpleaños o durante una actividad grupal)","Acts in a livelier manner compared to other children in a group (e.g., in a birthday party or during a group activity)",,"Actúa de una manera mas alocado/a en comparación con otros niños en un grupo (ej., en una fiesta de cumpleaños o durante una actividad grupal).",
CHEXI,"Has difficulty doing things that require mental effort, such as counting backwards","Tiene dificultad para hacer cosas que requieren esfuerzo mental, como contar hacia atrás",n/a,"Tiene dificultad para hacer cosas que requieren esfuerzo mental, como contar hacia atrás","Has difficulty in doing things that require mental effort, like counting backwards",,"Tiene dificultad para hacer cosas que requieren esfuerzo mental, como contar hacia atrás.",
CHEXI,Has difficulty keeping things in mind while he/she is doing something else,Tiene dificultad para mantener cosas en la mente mientras esta haciendo otras,Tiene dificultad manteniendo cosas en la mente mientras esta haciendo otras ,Tiene dificultad manteniendo cosas en la mente mientras esta haciendo otras ,Has difficulty keeping things in mind while doing other things.,,Tiene dificultad manteniendo cosas en la mente mientras esta haciendo otras.,