record_id,idea_s1_r1_e1_timestamp,idea_i1_s1_r1_e1,idea_i2_s1_r1_e1,idea_i3_s1_r1_e1,idea_i4_s1_r1_e1,idea_i5_s1_r1_e1,idea_i6_s1_r1_e1,idea_i7_s1_r1_e1,idea_i8_s1_r1_e1,idea_i9_s1_r1_e1,idea_i10_s1_r1_e1,idea_i11_s1_r1_e1,idea_i12_s1_r1_e1,idea_i13_s1_r1_e1,idea_i14_s1_r1_e1,idea_i15_s1_r1_e1,idea_i16_s1_r1_e1,idea_i17_s1_r1_e1,idea_i18_s1_r1_e1,idea_i19_s1_r1_e1,idea_i20_s1_r1_e1,idea_i21_s1_r1_e1,idea_i22_s1_r1_e1,idea_i23_s1_r1_e1,idea_i24_s1_r1_e1,idea_i25_s1_r1_e1,idea_i26_s1_r1_e1,idea_i27_s1_r1_e1,idea_i28_s1_r1_e1,idea_i29_s1_r1_e1,idea_i30_s1_r1_e1,idea_i31_s1_r1_e1,idea_s1_r1_e1_complete,idea_idex_s1_r1_e1_perc_complete,idea_idex_s1_r1_e1_scored,idea_poss_s1_r1_e1_perc_complete,idea_poss_s1_r1_e1_scored,idea_neg_s1_r1_e1_perc_complete,idea_neg_s1_r1_e1_scored,idea_other_s1_r1_e1_perc_complete,idea_other_s1_r1_e1_scored,idea_self_s1_r1_e1_perc_complete,idea_self_s1_r1_e1_scored,idea_btwn_s1_r1_e1_perc_complete,idea_btwn_s1_r1_e1_scored
130029,9/1/21 10:45,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,1.0,2.857142857142857,1.0,3.0,1.0,2.142857142857143,1.0,2.0,1.0,3.0,1.0,3.0
130032,9/7/21 11:38,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2,1.0,3.7142857142857144,1.0,4.0,1.0,3.2857142857142856,1.0,2.3333333333333335,1.0,4.0,1.0,4.0
130042,9/19/21 17:25,4.0,4.0,3.0,3.0,4.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2,1.0,3.7142857142857144,1.0,3.8,1.0,1.7142857142857142,1.0,3.6666666666666665,1.0,4.0,1.0,2.3333333333333335
130043,9/20/21 18:00,4.0,4.0,3.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,1.0,3.4285714285714284,1.0,3.8,1.0,3.0,1.0,2.3333333333333335,1.0,4.0,1.0,4.0
130044,9/23/21 17:12,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2,1.0,3.857142857142857,1.0,4.0,1.0,3.857142857142857,1.0,2.6666666666666665,1.0,4.0,1.0,3.6666666666666665
130046,10/3/21 15:58,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2,1.0,3.7142857142857144,1.0,4.0,1.0,3.0,1.0,1.6666666666666667,1.0,3.6666666666666665,1.0,4.0
130047,10/1/21 16:57,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,1.0,4.0,1.0,4.0,1.0,4.0,1.0,3.6666666666666665,1.0,4.0,1.0,4.0
130048,10/1/21 21:16,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2,1.0,3.857142857142857,1.0,4.0,1.0,2.5714285714285716,1.0,1.6666666666666667,1.0,4.0,1.0,3.3333333333333335
130049,10/11/21 17:10,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2,1.0,3.4285714285714284,1.0,3.0,1.0,3.142857142857143,1.0,1.6666666666666667,1.0,2.3333333333333335,1.0,3.6666666666666665
130053,10/13/21 13:49,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,1.0,4.0,1.0,4.0,1.0,3.5714285714285716,1.0,2.3333333333333335,1.0,4.0,1.0,4.0
130055,10/8/21 21:47,4.0,4.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,1.0,4.0,1.0,4.0,1.0,2.2857142857142856,1.0,1.6666666666666667,1.0,3.6666666666666665,1.0,4.0
130060,10/12/21 17:04,4.0,4.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,2,1.0,3.4285714285714284,1.0,3.2,1.0,2.5714285714285716,1.0,3.0,1.0,3.5,1.0,4.0
130061,10/17/21 22:52,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2,1.0,4.0,1.0,4.0,1.0,3.142857142857143,1.0,3.0,1.0,4.0,1.0,3.6666666666666665
130064,10/16/21 10:00,4.0,4.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2,1.0,3.7142857142857144,1.0,3.4,1.0,2.142857142857143,1.0,3.0,1.0,3.3333333333333335,1.0,3.0
130069,10/19/21 11:55,3.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2,1.0,3.5714285714285716,1.0,3.0,1.0,3.2857142857142856,1.0,2.6666666666666665,1.0,3.6666666666666665,1.0,4.0
130071,10/21/21 10:47,4.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2,1.0,3.857142857142857,1.0,2.8,1.0,3.4285714285714284,1.0,4.0,1.0,3.5,1.0,3.3333333333333335
130072,10/22/21 15:27,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,1.0,3.857142857142857,1.0,3.6,1.0,3.142857142857143,1.0,2.6666666666666665,1.0,3.6666666666666665,1.0,4.0
130073,10/23/21 4:00,3.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,2,1.0,3.2857142857142856,1.0,3.0,1.0,2.857142857142857,1.0,2.0,1.0,3.1666666666666665,1.0,3.6666666666666665
130076,10/24/21 21:20,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,1.0,3.857142857142857,1.0,4.0,1.0,3.4285714285714284,1.0,2.0,1.0,4.0,1.0,4.0
