measure,english (parent),final_esla (parent),english (self),draft_esla (self),revised_esla,esla_for_backtrans,backtranslated_esla,reconciled_esla,final_esla
FPE,The Fear of Positive Evaluation Scale (Parent Report),La Escala de Miedo a Evaluación Positiva (Reporte Parental),The Fear of Positive Evaluation Scale,La Escala de Miedo a Evaluación Positiva,N/A,La Escala de Miedo a Evaluación Positiva,The Fear of Positive Evaluation Scale,NA,La Escala de Miedo a Evaluación Positiva
FPE,"Read each of the following statements carefully and select an option to indicate the degree to which you feel the statement is characteristic of your child. For each statement, respond as though it involves people that your child does not know very well.","Lea cuidadosamente cada uno de los siguientes enunciados y seleccione una opción para indicar el grado en el que usted cree que el enunciado describe a su niño/a. Para cada enunciado, responda como si involucrara personas que su niño/a no conoce muy bien.","Read each of the following statements carefully and select an option to indicate the degree to which you feel the statement is characteristic of you. For each statement, respond as though it involves people that you do not know very well.","Lea cuidadosamente cada uno de los siguientes enunciados y seleccione una opción para indicar el grado en el que usted cree que el enunciado le describe. Para cada enunciado, responda como si involucrara personas que usted no conoce muy bien.",N/A,"Lea cuidadosamente cada uno de los siguientes enunciados y seleccione una opción para indicar el grado en el que usted cree que el enunciado le describe. Para cada enunciado, responda como si involucrara personas que usted no conoce muy bien.","Read carefully each of the following statements and select one option to indicate the degree to which you believe the statement describes you. For each statement, respond as if it involved people you don't know very well.",NA,"Lea cuidadosamente cada uno de los siguientes enunciados y seleccione una opción para indicar el grado en el que usted cree que el enunciado le describe. Para cada enunciado, responda como si involucrara personas que usted no conoce muy bien."
FPE,"My child is uncomfortable exhibiting their talents to others, even if they think their talents will impress them.","A mi niño/a le incomoda exhibir sus talentos a otras personas, incluso si cree que sus talentos los impresionarán.","I am uncomfortable exhibiting my talents to others, even if I think my talents will impress them.","Me incomoda exhibir mis talentos a otras personas, incluso si creo que mis talentos los impresionarán.",N/A,"Me incomoda exhibir mis talentos a otras personas, incluso si creo que mis talentos los impresionarán.","I'm uncomfortable showing off my talents to other people, even if I think my talents will impress them.",NA,"Me incomoda exhibir mis talentos a otras personas, incluso si creo que mis talentos los impresionarán."
FPE,It would make my child anxious to receive a compliment from someone that they were attracted to.,Mi niño/a se sentiría ansioso/a si recibiera un cumplido de una persona que le atrae.,It would make me anxious to receive a compliment from someone that I am attracted to.,Me sentiría ansioso/a si recibiera un cumplido de una persona que me atrae.,N/A,Me sentiría ansioso/a si recibiera un cumplido de una persona que me atrae.,I would feel anxious if I received a compliment from a person I am attracted to.,NA,Me sentiría ansioso/a si recibiera un cumplido de una persona que me atrae.
FPE,My child tries to choose clothes that will give people little impression of what they are like.,Mi niño/a trata de elegir ropa que le dé a las personas poca impresión de cómo es.,I try to choose clothes that will give people little impression of what I am like.,Trato de elegir ropa que le dé a las personas poca impresión de cómo soy.,N/A,Trato de elegir ropa que le dé a las personas poca impresión de cómo soy.,I try to pick clothes that give people little impression of how I am.,NA,Trato de elegir ropa que le dé a las personas poca impresión de cómo soy.
FPE,My child feels uneasy when they receive praise from authority figures.,A mi niño/a le incomoda recibir elogios de una figura de autoridad.,I feel uneasy when I receive praise from authority figures.,Me incomoda recibir elogios de una figura de autoridad.,N/A,Me incomoda recibir elogios de una figura de autoridad.,It makes me uncomfortable receiving praise from an authority figure.,NA,Me incomoda recibir elogios de una figura de autoridad.
FPE,"If my child has something to say that they think a group will find interesting, they typically say it.","Si mi niño/a tiene algo que decir que cree que un grupo encontrará interesante, típicamente lo dice.","If I have something to say that I think a group will find interesting, I typically say it.","Si tengo algo que decir que creo que un grupo encontrará interesante, típicamente lo digo.",N/A,"Si tengo algo que decir que creo que un grupo encontrará interesante, típicamente lo digo.","If I have something to say that I think a group will find interesting, I typically say it.",NA,"Si tengo algo que decir que creo que un grupo encontrará interesante, típicamente lo digo."
FPE,My child would rather receive a compliment from someone when they were alone with that person than when in the presence of others.,Mi niño/a preferiría recibir un cumplido de alguien cuando esta solo/a con esa persona antes que en presencia de otros,I would rather receive a compliment from someone when that person and I were alone than when in the presence of others.,Preferiría recibir un cumplido de alguien cuando estoy solo/a con esa persona antes que en presencia de otros,N/A,Preferiría recibir un cumplido de alguien cuando estoy solo/a con esa persona antes que en presencia de otros,I would prefer to receive a compliment from someone when I am alone with that person than in the presence of others,NA,Preferiría recibir un cumplido de alguien cuando estoy solo/a con esa persona antes que en presencia de otros
FPE,"If my child was doing something well in front of others, they would wonder whether they were doing ''too well.''","Si mi niño/a estuviera haciendo algo bien frente a otras personas, se preguntaría si lo está haciendo ""demasiado bien.""","If I was doing something well in front of others, I would wonder whether I was doing ''too well.''","Si estuviera haciendo algo bien frente a otras personas, me preguntaría si lo estoy haciendo ""demasiado bien.""",N/A,"Si estuviera haciendo algo bien frente a otras personas, me preguntaría si lo estoy haciendo ""demasiado bien.""","If I were doing something well in front of other people, I would ask myself if I was doing it ""too well.""",NA,"Si estuviera haciendo algo bien frente a otras personas, me preguntaría si lo estoy haciendo ""demasiado bien."""
FPE,My child generally feels uncomfortable when people give them compliments.,Mi niño/a generalmente se siente incómodo/a cuando la gente le hace cumplidos.,I generally feel uncomfortable when people give me compliments.,Generalmente me siento incómodo/a cuando la gente me hace cumplidos.,N/A,Generalmente me siento incómodo/a cuando la gente me hace cumplidos.,I usually feel uncomfortable when people compliment me.,NA,Generalmente me siento incómodo/a cuando la gente me hace cumplidos.
FPE,"My child doesn't like to be noticed when they are in public places, even if they feel as though they are being admired.","A mi niño/a no le gusta ser percibido en lugares públicos, incluso si siente que está siendo admirado/a.","I don't like to be noticed when I am in public places, even if I feel as though I am being admired.","No me gusta ser percibido/a en lugares públicos, incluso si siento que estoy siendo admirado/a.",N/A,"No me gusta ser percibido/a en lugares públicos, incluso si siento que estoy siendo admirado/a.","I do not like to be perceived in public places, even if I feel that I am being admired.","--""noticed"" versus ""perceived"" -- from back translator: ""its just a quirk of the back translation, spanish treats noticed and perceived to be the same :) ""observado/a"" could also be used in place of ""percibido/a"" however the connotation is different and i hear the latter used more frequently anyways""","No me gusta ser percibido/a en lugares públicos, incluso si siento que estoy siendo admirado/a."
FPE,"My child often feels under-appreciated, and wishes people would comment more on their positive qualities.","Mi niño/a se siente subvalorado a menudo, y desea que la gente comentara más acerca de sus cualidades positivas.","I often feel under-appreciated, and wish people would comment more on my positive qualities.","Me siento subvalorado/a a menudo, y deseo que la gente comentara más acerca de mis cualidades positivas.",N/A,"Me siento subvalorado/a a menudo, y deseo que la gente comentara más acerca de mis cualidades positivas.","I often feel undervalued, and I wish people would comment more about my positive qualities.",NA,"Me siento subvalorado/a a menudo, y deseo que la gente comentara más acerca de mis cualidades positivas."
FPE,Not at all True,Para nada cierto,Not at all True,Para nada cierto,N/A,Para nada cierto,Not at all true,NA,Para nada cierto
FPE,Somewhat True,Parcialmente cierto,Somewhat True,Parcialmente cierto,N/A,Parcialmente cierto,Partially true,NA,Parcialmente cierto
FPE,Very True,Muy cierto,Very True,Muy cierto,N/A,Muy cierto,Very true,NA,Muy cierto