measure,english,draft_esla,revised_esla,esla_for_backtrans,backtranslated_esla,reconciled_esla,final_esla,revised_en,revised_esla
MASI,Multidimensional Acculturative Stress Inventory,Inventorio de Estrés Multidimensional por Aculturación,N/A,Inventorio de Estrés Multidimensional por Aculturación,Multidimensional Acculturative Stress Inventory,NA,Inventorio de Estrés Multidimensional por Aculturación,,
MASI,"1, Yes | 0, No","1, Sí | 0, No",N/A,"1, Sí | 0, No","1, Yes | 0, No",NA,"1, Sí | 0, No",,
MASI,Do you have a heritage culture (other than American)?,Tiene alguna cultura de herencia (además de la Americana?),N/A,Tiene alguna cultura de herencia (además de la Americana?),Do you have any cultural heritage (besides American)?,NA,Tiene alguna cultura de herencia (además de la Americana?),Do you have a heritage culture (other than mainstream American)?,Tiene alguna cultura de origen (además de la Americana o estadounidense)?
MASI,Your heritage culture (other than American) is:,NA,NA,NA,NA,NA,NA,[from ABCD data dictionary] Your heritage culture (other than mainstream American) is:,[from ABCD data dictionary] Nuestra cultura de origen (que no sea americana o estadounidense) es:
MASI,Please rate how strongly you agree/disagree with the following statements.,Por favor califique que tan de acuerdo o en desacuerdo está con las siguientes afirmaciones.,N/A,Por favor califique que tan de acuerdo o en desacuerdo está con las siguientes afirmaciones.,Please rate how much you agree or disagree with the following statements.,NA,Por favor califique que tan de acuerdo o en desacuerdo está con las siguientes afirmaciones.,,
MASI,"1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",N/A,"1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo","1, Strongly disagree | 2, | 3, | 4, | 5, Strongly agree",NA,"1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",,
MASI,I don't speak my family's heritage language or don't speak it well.,No hablo el idioma de herencia de mi familia o no lo hablo bien.,N/A,No hablo el idioma de herencia de mi familia o no lo hablo bien.,I do not speak my family's heritage language or I do not speak it well.,NA,No hablo el idioma de herencia de mi familia o no lo hablo bien.,,
MASI,I feel uncomfortable being around people who only speak my family's heritage language.,Me siento incómodo/a al rededor de personas que sólo hablan el idioma de herencia de mi familia.,N/A,Me siento incómodo/a al rededor de personas que sólo hablan el idioma de herencia de mi familia.,I feel uncomfortable around people who only speak my family's heritage language.,NA,Me siento incómodo/a al rededor de personas que sólo hablan el idioma de herencia de mi familia.,,
MASI,I feel pressure to learn my family's heritage language.,Me siento presionado/a a aprender el idioma de herencia de mi familia.,N/A,Me siento presionado/a a aprender el idioma de herencia de mi familia.,I feel pressured to learn my family's heritage language.,NA,Me siento presionado/a a aprender el idioma de herencia de mi familia.,,
MASI,I have a hard time understanding others when they speak my family's heritage language.,Me cuesta entender a otras personas cuando hablan el idioma de herencia de mi familia.,N/A,Me cuesta entender a otras personas cuando hablan el idioma de herencia de mi familia.,I have a hard time understanding other people when they speak my family's heritage language.,NA,Me cuesta entender a otras personas cuando hablan el idioma de herencia de mi familia.,,
MASI,"Since I don't speak my family's heritage language well, people have treated me rudely or unfairly.",La gente me ha tratado de forma ruda o injusta por no hablar bien el idioma de herencia de mi familia.,"Como no hablo bien el idioma de herencia de mi familia, la gente me ha tratado de manera grosera o injusta.","Como no hablo bien el idioma de herencia de mi familia, la gente me ha tratado de manera grosera o injusta.","Because I don't speak my family's heritage language well, people have treated me rudely or unfairly.",NA,"Como no hablo bien el idioma de herencia de mi familia, la gente me ha tratado de manera grosera o injusta.",,
MASI,It bothers me when people assume that I speak my family's heritage language.,Me molesta cuando la gente asume que hablo el idioma de herencia de mi familia.,N/A,Me molesta cuando la gente asume que hablo el idioma de herencia de mi familia.,It bothers me when people assume that I speak my family's heritage language.,NA,Me molesta cuando la gente asume que hablo el idioma de herencia de mi familia.,,
MASI,I have been discriminated against because I have difficulty speaking my family's heritage language.,He sido discriminado/a porque tengo dificultad para hablar el idioma de herencia de mi familia.,N/A,He sido discriminado/a porque tengo dificultad para hablar el idioma de herencia de mi familia.,I have been discriminated against because I have difficulty speaking my family's heritage language.,NA,He sido discriminado/a porque tengo dificultad para hablar el idioma de herencia de mi familia.,,
MASI,I don't speak English or don't speak it well.,No hablo inglés o no lo hablo bien.,N/A,No hablo inglés o no lo hablo bien.,I don't speak English or I don't speak it well.,NA,No hablo inglés o no lo hablo bien.,,
MASI,I have been discriminated against because I have difficulty speaking English.,He sido discriminado/a porque tengo dificultad para hablar en inglés.,N/A,He sido discriminado/a porque tengo dificultad para hablar en inglés.,I have been discriminated against because I have difficulty speaking English.,NA,He sido discriminado/a porque tengo dificultad para hablar en inglés.,,
MASI,"Since I don't speak English well, people have treated me rudely or unfairly.",La gente me ha tratado de forma ruda o injusta por no hablar bien en inglés,"Como no hablo bien inglés, la gente me ha tratado de manera grosera o injusta.","Como no hablo bien inglés, la gente me ha tratado de manera grosera o injusta.","Because I don't speak English well, people have treated me rudely or unfairly.",NA,"Como no hablo bien inglés, la gente me ha tratado de manera grosera o injusta.",,
MASI,I feel pressure to learn English.,Me siento presionado/a a aprender inglés.,N/A,Me siento presionado/a a aprender inglés.,I feel pressured to learn English.,NA,Me siento presionado/a a aprender inglés.,,
MASI,It bothers me that I speak English with an accent.,Me molesta que hablo inglés con un acento.,N/A,Me molesta que hablo inglés con un acento.,It bothers me that I speak English with an accent.,NA,Me molesta que hablo inglés con un acento.,,
MASI,I have a hard time understanding others when they speak English.,Me cuesta entender a otras personas cuando hablan en inglés.,N/A,Me cuesta entender a otras personas cuando hablan en inglés.,I have a hard time understanding other people when they speak English.,NA,Me cuesta entender a otras personas cuando hablan en inglés.,,
MASI,I feel uncomfortable being around people who only speak English.,Me siento incómodo/a al rededor de personas que sólo hablan inglés.,N/A,Me siento incómodo/a al rededor de personas que sólo hablan inglés.,I feel uncomfortable around people who only speak English.,NA,Me siento incómodo/a al rededor de personas que sólo hablan inglés.,,
MASI,It bothers me when people pressure me to assimilate to the American way of doing things.,Me molesta cuando la gente me presiona para que asuma la manera americana de hacer las cosas.,N/A,Me molesta cuando la gente me presiona para que asuma la manera americana de hacer las cosas.,It bothers me when people pressure me to take on the American way of doing things.,NA,Me molesta cuando la gente me presiona para que asuma la manera americana de hacer las cosas.,,
MASI,It bothers me when people don't respect my family's cultural values.,Me molesta cuando la gente no respeta los valores culturales de mi familia.,N/A,Me molesta cuando la gente no respeta los valores culturales de mi familia.,It bothers me when people don't respect my family's cultural values.,NA,Me molesta cuando la gente no respeta los valores culturales de mi familia.,,
MASI,"Because of my cultural background, I have a hard time fitting in with White Americans.",Me cuesta encajar con personas americanas blancas por mi trasfondo cultural.,"Debido a mi trasfondo cultural, me cuesta mucho adaptarme a los estadounidenses blancos.","Debido a mi trasfondo cultural, me cuesta mucho adaptarme a los estadounidenses blancos.","Due to my cultural background, I have a very hard time adapting to white Americans.",#NAME?,"Debido a mi trasfondo cultural, me cuesta mucho encajar con los estadounidenses blancos.",,
MASI,I feel uncomfortable when others expect me to know American ways of doing things.,Me siento incómodo/a cuando otras personas esperan que conozca la manera americana de hacer las cosas.,N/A,Me siento incómodo/a cuando otras personas esperan que conozca la manera americana de hacer las cosas.,I feel uncomfortable when other people expect me to know the American way of doing things.,NA,Me siento incómodo/a cuando otras personas esperan que conozca la manera americana de hacer las cosas.,,
MASI,I don't feel accepted by White Americans.,No me siento aceptado/a por personas americanas blancas.,N/A,No me siento aceptado/a por personas americanas blancas.,I don't feel accepted by white American people.,"--row 31 ""white Americans""; here ""white American people"" -- led me to look at the Spanish and it seems we have two terms used?",No me siento aceptado/a por estadounidenses blancos.,,
MASI,I feel uncomfortable when I have to choose between my family's heritage culture and American ways of doing things.,Me siento incómodo/a cuando tengo que escoger entre la cultura de herencia de mi familia y la manera americana de hacer las cosas.,N/A,Me siento incómodo/a cuando tengo que escoger entre la cultura de herencia de mi familia y la manera americana de hacer las cosas.,I feel uncomfortable when I have to choose between my family's heritage culture and the American way of doing things.,NA,Me siento incómodo/a cuando tengo que escoger entre la cultura de herencia de mi familia y la manera americana de hacer las cosas.,,
MASI,People look down upon me if I practice customs from my family's heritage culture.,La gente me mira con desprecio si practico costumbres de la cultura de herencia de mi familia.,N/A,La gente me mira con desprecio si practico costumbres de la cultura de herencia de mi familia.,People look down on me if I practice customs from my family's heritage culture.,NA,La gente me mira con desprecio si practico costumbres de la cultura de herencia de mi familia.,,
MASI,I have had conflicts with others because I prefer American customs over those from my family's heritage culture.,He tenido conflictos con otras personas porque prefiero las costumbres americanas que las de la cultura de herencia de mi familia.,N/A,He tenido conflictos con otras personas porque prefiero las costumbres americanas que las de la cultura de herencia de mi familia.,I have had conflicts with other people because I prefer American customs over my family's heritage culture.,NA,He tenido conflictos con otras personas porque prefiero las costumbres americanas que las de la cultura de herencia de mi familia.,,
MASI,People look down upon me if I practice American customs.,La gente me mira con desprecio si practico costumbres americanas.,N/A,La gente me mira con desprecio si practico costumbres americanas.,People look down on me if I practice American customs.,NA,La gente me mira con desprecio si practico costumbres americanas.,,
MASI,I feel uncomfortable when others expect me to know the ways of doing things in my family's heritage culture.,Me siento incómodo/a cuando otras personas esperan que conozca la manera de hacer las cosa en la cultura de herencia de mi familia.,N/A,Me siento incómodo/a cuando otras personas esperan que conozca la manera de hacer las cosa en la cultura de herencia de mi familia.,I feel uncomfortable when other people expect me to know the way of doing things in my family's heritage culture.,NA,Me siento incómodo/a cuando otras personas esperan que conozca la manera de hacer las cosa en la cultura de herencia de mi familia.,,
MASI,I feel uncomfortable because my family members do not know the ways of doing things from their heritage culture.,Me incomoda que mis parientes no sepan la manera de hacer las cosas en su cultura de herencia.,Me siento incómodo(a) porque los miembros de mi familia no conocen las formas de hacer las cosas de su cultura de herencia.,Me siento incómodo(a) porque los miembros de mi familia no conocen las formas de hacer las cosas de su cultura de herencia.,I feel uncomfortable because my family members do not know the ways of doing things from their heritage culture.,NA,Me siento incómodo/a porque los miembros de mi familia no conocen las formas de hacer las cosas de su cultura de herencia.,,