measure,english,draft_esla,revised_esla,esla_for_backtrans,backtranslated_esla,reconciled_esla,final_esla
PSCEI,Parent Sensitivity to Child Errors Index,Índice de Sensibilidad Parental a Errores del Niño/a,N/A,Índice de Sensibilidad Parental a Errores del Niño/a,Parent Sensitivity to Child Errors Index,N/A,Índice de Sensibilidad Parental a Errores del Niño/a
PSCEI,Please indicate to what extent each statement is true about the way you feel about your child?,Por favor indique en qué medida cada afirmacion es cierta sobre la forma en usted se siente acerca de su niño/a,Por favor indique en qué medida cada afirmacion es cierta sobre la forma en que usted se siente acerca de su niño/a,Por favor indique en qué medida cada afirmación es cierta sobre la forma en que usted se siente acerca de su niño/a,Please indicate to what degree each statement is true about the way you feel about your child,N/A,Por favor indique en qué medida cada afirmación es cierta sobre la forma en que usted se siente acerca de su niño/a.
PSCEI,not at all like you,Para nada de acuerdo,N/A,Para nada de acuerdo,Do not agree,totally different framework,Para nada como usted
PSCEI,a little like you,Un poco de acuerdo,N/A,Un poco de acuerdo,Slightly agree,totally different framework,Un poco como usted
PSCEI,moderately like you,Moderadamente de acuerdo,N/A,Moderadamente de acuerdo,Moderately agree,totally different framework,Moderadamente como usted
PSCEI,a lot like you,Muy de acuerdo,N/A,Muy de acuerdo,Mostly agree,totally different framework,Bastante como usted
PSCEI,extremely like you,Extremadamente de acuerdo,N/A,Extremadamente de acuerdo,Strongly agree,totally different framework,Extremadamente como usted
PSCEI,"When I notice a mistake my child made, I feel upset.","Cuando noto un error que cometió mi niño/a, me siento disgustado/a.",N/A,"Cuando noto un error que cometió mi niño/a, me siento disgustado/a.","When I notice a mistake my child made, I feel upset.",N/A,"Cuando noto un error que cometió mi niño/a, me siento disgustado/a."
PSCEI,My stomach feels like it “drops” when I see my child make a mistake.,Siento mi estomago caer cuando veo a mi niño/a cometer un error.,N/A,Siento mi estomago caer cuando veo a mi niño/a cometer un error.,I feel my stomach drop when I see my child make a mistake.,N/A,Siento mi estomago caer cuando veo a mi niño/a cometer un error.
PSCEI,"If my child makes a mistake, I have a strong urge to fix it immediately.","Si mi niño/a comete un error, siento un fuerte impulso de arreglarlo inmediatamente.",N/A,"Si mi niño/a comete un error, siento un fuerte impulso de arreglarlo inmediatamente.","If my child makes a mistake, I feel a strong impulse to fix it immediately.",N/A,"Si mi niño/a comete un error, siento un fuerte impulso de arreglarlo inmediatamente."
PSCEI,"When someone notices my child did something wrong, I feel upset.","Cuando alguien nota que mi niño/a hizo algo incorrectamente, me siento disgustado/a.",N/A,"Cuando alguien nota que mi niño/a hizo algo incorrectamente, me siento disgustado/a.","When someone notices my child did something incorrectly, I feel upset.",N/A,"Cuando alguien nota que mi niño/a hizo algo incorrectamente, me siento disgustado/a."
PSCEI,I am afraid of my child making mistakes in front of other people.,Tengo miedo de que mi niño/a cometa errores frente a otras personas.,N/A,Tengo miedo de que mi niño/a cometa errores frente a otras personas.,I fear that my child makes mistakes in front of other people.,N/A,Tengo miedo de que mi niño/a cometa errores frente a otras personas.
PSCEI,I feel an urge to check over things my child has done to make sure they did not make a mistake.,Siento un impulso de revisar las cosas que ha hecho mi niño/a para asegurarme de que no haya cometido un error.,N/A,Siento un impulso de revisar las cosas que ha hecho mi niño/a para asegurarme de que no haya cometido un error.,I feel an urge to review the things my child has done in order to assure myself that they haven't made a mistake.,N/A,Siento un impulso de revisar las cosas que ha hecho mi niño/a para asegurarme de que no haya cometido un error.
PSCEI,"If my child makes a mistake and I can’t fix it, I feel like “something isn’t right.”","Si mi niño/a comete un error y no puedo arreglarlo, siento que ""algo no está bien.""",N/A,"Si mi niño/a comete un error y no puedo arreglarlo, siento que ""algo no está bien.""","If my child makes a mistake and I cannot fix it, I feel like ""something isn't right"".",N/A,"Si mi niño/a comete un error y no puedo arreglarlo, siento que ""algo no está bien."""
PSCEI,I have a strong need for my child to do things close to perfectly.,Tengo una fuere necesidad de que mi niño/a haga las cosas casi perfectamente.,Tengo una fuerte necesidad de que mi niño/a haga las cosas casi perfectamente.,Tengo una fuerte necesidad de que mi niño/a haga las cosas casi perfectamente.,I have a strong need for my child to do things almost perfectly.,N/A,Tengo una fuerte necesidad de que mi niño/a haga las cosas casi perfectamente.
PSCEI,I feel upset when other people criticize something my child has done.,Me siento disgustado/a cuando otras personas critican algo que ha hecho mi niño/a.,N/A,Me siento disgustado/a cuando otras personas critican algo que ha hecho mi niño/a.,I feel upset when other people critique something my child has done.,"critique versus criticize? -- this is a case where spanish just has one word but theres more words in english i think! ""critican"" does have a strong connotation in spanish, moreso leaning towards the ""criticize"" side but ""critique"" is also applicable. it could translate either way",Me siento disgustado/a cuando otras personas critican algo que ha hecho mi niño/a.
PSCEI,"When my child makes a mistake, I feel anxious.","Cuando mi niño/a comete un error, me siento ansioso/a.",N/A,"Cuando mi niño/a comete un error, me siento ansioso/a.","When my child makes a mistake, I feel anxious.",N/A,"Cuando mi niño/a comete un error, me siento ansioso/a."
PSCEI,I often want to make sure something my child has done is “just right” or perfect.,"A menudo quiero asegurarme que algo que mi niño haya hecho sea ""adecuado"" o perfecto.",N/A,"A menudo quiero asegurarme que algo que mi niño haya hecho sea ""adecuado"" o perfecto.","I often want to assure myself that something my child has done is ""adequate"" or perfect.","adequate versus 'just right'? -- ""adecuado"" itself doesnt really have a negative connotation it more implies sufficiently good or appropriate","A menudo quiero asegurarme que algo que mi niño haya hecho sea ""adecuado"" o perfecto."
PSCEI,"When someone notices a mistake my child made, I feel more upset than other people.","Cuando alguien nota un error que cometió mi niño/a, me siento más disgustado/a que otras personas.",N/A,"Cuando alguien nota un error que cometió mi niño/a, me siento más disgustado/a que otras personas.","When someone notices a mistake my child has made, I feel more upset than other people.",N/A,"Cuando alguien nota un error que cometió mi niño/a, me siento más disgustado/a que otras personas."
PSCEI,I am more concerned about my child’s mistakes than other people’s mistakes.,Me preocupo más por los errores de mi niño/a que los errores de otras personas.,N/A,Me preocupo más por los errores de mi niño/a que los errores de otras personas.,I worry more about my child's mistakes than other people's mistakes.,N/A,Me preocupo más por los errores de mi niño/a que los errores de otras personas.
PSCEI,"After my child makes a mistake, I think about it for a long time.","Luego de que mi niño/a comete un error, pienso en eso por un largo tiempo.",N/A,"Luego de que mi niño/a comete un error, pienso en eso por un largo tiempo.","After my child makes a mistake, I think about it for a long time.",N/A,"Luego de que mi niño/a comete un error, pienso en eso por un largo tiempo."
PSCEI,My child making mistakes means I am a less good person.,El hecho de que mi niño cometa errores significa que soy menos buena persona.,N/A,El hecho de que mi niño cometa errores significa que soy menos buena persona.,The fact that my child makes mistakes means that I'm less of a good person.,"less good person v. less of a good person -- according to back translator, this is a weakness of the back translation and the spanish does not imply morality/ethics",El hecho de que mi niño cometa errores significa que soy menos buena persona.
PSCEI,"When my child makes a mistake, I start sweating or blushing.","Cuando mi niño/a comete un error, comienzo a sudar o sonrrojarme.",N/A,"Cuando mi niño/a comete un error, comienzo a sudar o sonrrojarme.","When my child makes a mistake, I start to sweat or blush.",N/A,"Cuando mi niño/a comete un error, comienzo a sudar o sonrrojarme."
PSCEI,I like to feel in control of my child more than other people do.,Me gusta sentirme en control de lo que mi niño/a más que a otras personas.,Me gusta sentirme en control de mi niño/a más que otras personas.,Me gusta sentirme en control de mi niño/a más que otras personas.,I like to feel in control of my child more than other people.,N/A,Me gusta sentirme en control de mi niño/a más que otras personas.
PSCEI,My child being good at something means not making mistakes.,El hecho de que mi niño sea bueno/a en algo significa que no comete errores.,N/A,El hecho de que mi niño sea bueno/a en algo significa que no comete errores.,The fact that my child is good at something means that they don't make mistakes.,"the fact that? -- when i read the sentence in spanish i interpret it the same way as you did in the original english, but the initial part doesnt necessarily change the connotation into what it is in english. i guess i would say the backtranslation is a more literal translation of ""el hecho de"". ",El hecho de que mi niño sea bueno/a en algo significa que no comete errores.
PSCEI,"I care about my child making mistakes during silly tasks, even when I know it doesn’t matter.","Me importa que mi niño/a cometa errores durante tareas tontas, incluso cuando sé que no tiene importancia.",N/A,"Me importa que mi niño/a cometa errores durante tareas tontas, incluso cuando sé que no tiene importancia.","It matters to me that my child makes mistakes during silly tasks, even when I know it doesn't matter.",N/A,"Me importa que mi niño/a cometa errores durante tareas tontas, incluso cuando sé que no tiene importancia."
PSCEI,I like to watch my child do things to make sure they don't make mistakes.,Me gusta observar a mi niño/a hacer cosas para asegurarme que no cometa errores.,N/A,Me gusta observar a mi niño/a hacer cosas para asegurarme que no cometa errores.,I like to observe my child do things to make sure they don't make mistakes.,N/A,Me gusta observar a mi niño/a hacer cosas para asegurarme que no cometa errores.