measure,english,eseu,draft_esla,revised_esla,final_esla
PSS,"The questions in this scale ask you about your feelings and thoughts during THE LAST MONTH.   In each case, please indicate your response by selecting the option that represents HOW OFTEN you felt or thought a certain way.","Las preguntas en esta escala hacen referencia a sus sentimientos y pensamientos durante el último mes. En cada caso, por favor indique con una “X” cómo usted se ha sentido o ha pensado en cada situación.","Las preguntas en esta escala hacen referencia a sus sentimientos y pensamientos durante EL ÚLTIMO MES. En cada caso, por favor responda seleccionando la opción que represente qué tan a menudo se sintió o pensó de cierta manera.",N/A,"Las preguntas en esta escala hacen referencia a sus sentimientos y pensamientos durante EL ÚLTIMO MES. En cada caso, por favor responda seleccionando la opción que represente qué tan a menudo se sintió o pensó de cierta manera."
PSS,"0, Never | 1, Almost Never | 2, Sometimes | 3, Fairly Often | 4, Very Often","0, Nunca | 1, Casi nunca | 2, De vez en cuando | 3, A menudo | 4, Muy a menudo","0, Nunca | 1, Casi nunca | 2, De vez en cuando | 3, A menudo | 4, Muy a menudo",N/A,"0, Nunca | 1, Casi nunca | 2, De vez en cuando | 3, A menudo | 4, Muy a menudo"
PSS,"In the last month, how often have you been upset because of something that happened unexpectedly?","En el último mes, ¿con qué frecuencia ha estado afectado por algo que ha ocurrido inesperadamente?","En el último mes, ¿con qué frecuencia ha estado afectado por algo que ha ocurrido inesperadamente?",N/A,"En el último mes, ¿con qué frecuencia ha estado afectado/a por algo que ha ocurrido inesperadamente?"
PSS,"In the last month, how often have you felt that you were unable to control the important things in your life?","En el último mes, ¿con qué frecuencia se ha sentido incapaz de controlar las cosas importantes en su vida?","En el último mes, ¿con qué frecuencia se ha sentido incapaz de controlar las cosas importantes en su vida?",N/A,"En el último mes, ¿con qué frecuencia se ha sentido incapaz de controlar las cosas importantes en su vida?"
PSS,"In the last month, how often have you felt nervous and “stressed”?","En el último mes, ¿con qué frecuencia se ha sentido nervioso o estresado?","En el último mes, ¿con qué frecuencia se ha sentido nervioso o estresado?","En el último mes, ¿con qué frecuencia se ha sentido nervioso y estresado?","En el último mes, ¿con qué frecuencia se ha sentido nervioso/a y estresado/a?"
PSS,"In the last month, how often have you felt confident about your ability to handle your personal problems?","En el último mes, ¿con qué frecuencia ha estado seguro sobre su capacidad para manejar sus problemas personales?","En el último mes, ¿con qué frecuencia ha estado seguro sobre su capacidad para manejar sus problemas personales?",N/A,"En el último mes, ¿con qué frecuencia ha estado seguro/a sobre su capacidad para manejar sus problemas personales?"
PSS,"In the last month, how often have you felt that things were going your way?","En el último mes, ¿con qué frecuencia ha sentido que las cosas le van bien?","En el último mes, ¿con qué frecuencia ha sentido que las cosas le van bien?","En el último mes, ¿con qué frecuencia ha sentido que las cosas iban bien?","En el último mes, ¿con qué frecuencia ha sentido que las cosas iban bien?"
PSS,"In the last month, how often have you found that you could not cope with all the things that you had to do?","En el último mes, ¿con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?","En el último mes, ¿con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?",N/A,"En el último mes, ¿con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?"
PSS,"In the last month, how often have you been able to control irritations in your life?","En el último mes, ¿con qué frecuencia ha podido controlar las dificultades de su vida?","En el último mes, ¿con qué frecuencia ha podido controlar las dificultades de su vida?","En el último mes, ¿con qué frecuencia ha podido controlar las irritaciones en su vida?","En el último mes, ¿con qué frecuencia ha podido controlar las irritaciones en su vida?"
PSS,"In the last month, how often have you felt that you were on top of things?","En el ultimo mes, ¿con que frecuencia se ha sentido que tenia todo bajo control?","En el ultimo mes, ¿con que frecuencia se ha sentido que tenia todo bajo control?",N/A,"En el último mes, ¿con qué frecuencia se ha sentido que tení todo bajo control?"
PSS,"In the last month, how often have you been angered because of things that were outside your control?","En el último mes, ¿con qué frecuencia ha estado enfadado porque las cosas que le han ocurrido estaban fuera de su control?","En el último mes, ¿con qué frecuencia ha estado enfadado porque las cosas que le han ocurrido estaban fuera de su control?","En el último mes, ¿con qué frecuencia te has enfadado por cosas que estaban fuera de tu control?","En el último mes, ¿con qué frecuencia se ha enfadado por cosas que estaban fuera de su control?"
PSS,"In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?","En el último mes, ¿con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?","En el último mes, ¿con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?",N/A,"En el último mes, ¿con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?"