measure,english,existing_esla,updated_esla,revised_esla,final_esla
SCARED,Screen for Child Anxiety Related Disorders (SCARED) - Parent Version,Screen for Child Anxiety Related Disorders (SCARED) - Forma para los padres,Filtro para Desordenes Relacionados con la Ansiedad en Niños (SCARED) - Versión para Padres,N/A,Filtro para Desordenes Relacionados con la Ansiedad en Niños (SCARED) - Versión para Padres
SCARED,"Below is a list of statements that describe how people feel. Read each statement carefully and decide if it is “Not True or Hardly Ever True” or “Somewhat True or Sometimes True” or “Very True or Often True” for your child. Then for each statement, select the response that corresponds to the response that seems to describe your child for the last 3 months. Please respond to all statements as well as you can, even if some do not seem to concern your child.","A continuación se muestra una lista de declaraciones que describen cómo la gente siente. Lea cada declaración cuidadosamente y decide si es ""Casi nunca o nunca es cierto"" o ""Es cierto algunas veces"" o ""Casi siempre o siempre es cierto"" para su hijo/a. Luego, para cada declaración, selecionne el número que corresponde a la respuesta que parece describir a su hijo durante los últimos 3 meses. Por favor, responda a todas las declaraciones, así como puedas, incluso si algunos no parecen afectar a su hijo.","A continuación hay una lista de afirmaciones que describen cómo se siente la gente. Lea cada afirmación cuidadosamente y decida si es ""Nunca cierta o rara vez cierta"" o ""Moderadamente cierta o a veces cierta"" o ""Muy cierta o a menudo cierta"" acerca de su niño/a. Luego para cada afirmación, seleccione la respuesta que parezca describir a su hijo en los últimos 3 meses. Por favor responda a todas las afirmaciones tan bien como pueda, incluso si algunas no parecen pertinentes a su niño/a,",N/A,"A continuación hay una lista de afirmaciones que describen cómo se siente la gente. Lea cada afirmación cuidadosamente y decida si es ""Nunca cierta o rara vez cierta"" o ""Moderadamente cierta o a veces cierta"" o ""Muy cierta o a menudo cierta"" acerca de su niño/a. Luego para cada afirmación, seleccione la respuesta que parezca describir a su hijo en los últimos 3 meses. Por favor responda a todas las afirmaciones tan bien como pueda, incluso si algunas no parecen pertinentes a su niño/a,"
SCARED,"0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True","0, Casi nunca o nunca es cierto | 1, Es cierto algunas veces | 2, Casi siempre o siempre es cierto","0, Nunca cierta o rara vez cierta | 1, Moderadamente cierta o a veces cierta | 2, Muy cierta o a menudo cierta",N/A,"0, Nunca cierta o rara vez cierta | 1, Moderadamente cierta o a veces cierta | 2, Muy cierta o a menudo cierta"
SCARED,"When my child feels frightened, it is hard for him/her to breathe","Cuando siente miedo, no puede respirar bien.","Cuando mi niño/a se siente asustado/a, le cuesta respirar.",N/A,"Cuando mi niño/a se siente asustado/a, le cuesta respirar."
SCARED,My child gets headaches when he/she is at school,"Cuando está en la escuela, se queja de dolor de cabeza.",A mi niño/a le dan dolores de cabeza cuando está en la escuela.,N/A,A mi niño/a le dan dolores de cabeza cuando está en la escuela.
SCARED,My child doesn't like to be with people he/she doesn't know well,No le gusta estar con personas que no conoce bien.,A mi niño/a no le gusta estar con personas que no conoce bien.,N/A,A mi niño/a no le gusta estar con personas que no conoce bien.
SCARED,My child gets scared if he/she sleeps away from home,Le da miedo dormir en otras casas.,Mi niño/a se asusta si duerme fuera de casa.,N/A,Mi niño/a se asusta si duerme fuera de casa.
SCARED,My child worries about other people liking him/her,Se preocupa de lo que piensan de el (ella).,A mi niño/a le preoucpa agradarle a otras personas.,N/A,A mi niño/a le preoucpa agradarle a otras personas.
SCARED,"When my child gets frightened, he/she feels like passing out","Cuando tiene miedo, siente que se va a desmayar.","Cuando mi niño/a se asusta, siente que se va a desmayar.",N/A,"Cuando mi niño/a se asusta, siente que se va a desmayar."
SCARED,My child is nervous,Es un niño(a) nervios(a).,Mi niño/a es nervioso/a.,N/A,Mi niño/a es nervioso/a.
SCARED,My child follows me wherever I go,"Me sigue a todas partes donde voy (es como mi ""sombra"").",Mi niño/a me sigue a todas partes donde voy.,N/A,Mi niño/a me sigue a todas partes donde voy.
SCARED,People tell me that my child looks nervous,La gente dice que mi hijo(a) se ve nervioso(a).,La gente me dice que mi niño/a se ve nervioso/a,N/A,La gente me dice que mi niño/a se ve nervioso/a
SCARED,My child feels nervous with people he/she doesn't know well,Se pone nervioso(a) con personas que no conoce bien.,Mi niño/a se siente nervioso/a con personas que no conoce bien.,N/A,Mi niño/a se siente nervioso/a con personas que no conoce bien.
SCARED,My child gets stomachaches at school,Cuando está en la escuela le duele el estómago.,A mi niño/a le dan dolores de estómago en la escuela.,N/A,A mi niño/a le dan dolores de estómago en la escuela.
SCARED,"When my child gets frightened, he/she feels like he/she is going crazy","Cuando tiene mucho miedo, se siente como si se fuera a ""enloquecer"".","Cuando mi niño/a se asusta, siente que está enloqueciendo.",N/A,"Cuando mi niño/a se asusta, siente que está enloqueciendo."
SCARED,My child worries about sleeping alone,Se preocupa si tiene que dormir solo(a).,A mi niño/a le preocupa dormir solo/a.,N/A,A mi niño/a le preocupa dormir solo/a.
SCARED,My child worries about being as good as other kids,Se preocupa de ser tan bueno(a) como los otros niños.,A mi niño/a le preocupa ser tan bueno/a como otros niños.,N/A,A mi niño/a le preocupa ser tan bueno/a como otros niños.
SCARED,"When he/she gets frightened, he/she feels like things are not real",Cuando tiene mucho miedo siente como si las cosas no fueran reales.,"Cuando mi niño/a se asusta, siente que las cosas no son reales.",N/A,"Cuando mi niño/a se asusta, siente que las cosas no son reales."
SCARED,My child has nightmares about something bad happening to his/her parents,Sueña que algo malo le va a pasar a su mama o a su papa.,Mi niño/a tiene pesadillas sobre cosas malas que le pasan a sus padres.,Mi niño/a tiene pesadillas sobre algo malo que les sucede a sus padres.,Mi niño/a tiene pesadillas en las que algo malo le sucede a sus padres.
SCARED,My child worries about going to school,Se preocupa cuando tiene que ir a la escuela.,A mi niño/a le preocupa ir a la escuela.,N/A,A mi niño/a le preocupa ir a la escuela.
SCARED,"When my child gets frightened, his/her heart beats fast","Cuando tiene miedo, el corazón le late muy rápido.","Cuando mi niño/a se asusta, su corazón late rápido.",N/A,"Cuando mi niño/a se asusta, su corazón late rápido."
SCARED,He/she gets shaky,Se pone tembloroso.,Mi niño/a se pone tembloroso/a.,N/A,Mi niño/a se pone tembloroso/a.
SCARED,My child has nightmares about something bad happening to him/her,Sueña que algo malo le va a pasar a el (ella).,Mi niñoa/ tiene pesadillas sobre cosas malas que le pasan.,Mi niño/a tiene pesadillas en las que le sucede algo malo.,Mi niño/a tiene pesadillas en las que le sucede algo malo.
SCARED,My child worries about things working out for him/her,Le preocupa cómo le van a salir las cosas.,A mi niño/a le preocupa que las cosas le salgan bien.,N/A,A mi niño/a le preocupa que las cosas le salgan bien.
SCARED,"When my child gets frightened, he/she sweats a lot",Cuando tiene miedo (nervios) suda mucho.,"Cuando mi niño/a se asusta, suda mucho.",N/A,"Cuando mi niño/a se asusta, suda mucho."
SCARED,My child is a worrier,Se preocupa demasiado.,Mi niño/a es preocupado/a.,N/A,Mi niño/a es preocupado/a.
SCARED,My child gets really frightened for no reason at all,Le da miedo sin tener ningún motivo.,Mi niño/a se asusta mucho sin razón.,N/A,Mi niño/a se asusta mucho sin razón.
SCARED,My child is afraid to be alone in the house,Le da miedo estar solo en casa.,A mi niño/a le asusta estar solo/a en casa.,N/A,A mi niño/a le asusta estar solo/a en casa.
SCARED,It is hard for my child to talk with people he/she doesn't know well,Le cuesta trabajo hablar con personas que no conoce.,A mi niño/a se le hace difícil hablar con personas que no conoce bien.,N/A,A mi niño/a se le hace difícil hablar con personas que no conoce bien.
SCARED,"When my child gets frightened, he/she feels like he/she is choking","Cuando tiene miedo, siente que no puede tragar.","Cuando mi niño/a se asusta, siente que se está asfixiando.",N/A,"Cuando mi niño/a se asusta, siente que se está asfixiando."
SCARED,People tell me that my child worries too much,Las personas dicen que se preocupa demasiado.,La gente me dice que mi niño/a se preocupa demasiado.,N/A,La gente me dice que mi niño/a se preocupa demasiado.
SCARED,My child doesn't like to be away from his/her family,No le gusta estar separado de la familia.,A mi niño/a no le gusta estar separado/a de su familia.,A mi niño/a no le gusta estar lejos de su familia,A mi niño/a no le gusta estar lejos de su familia.
SCARED,My child is afraid of having anxiety (or panic) attacks,Le da miedo de tener ataques de nervios (pánico).,A mi niño le da miedo tener ataques de ansiedad (o pánico).,N/A,A mi niño le da miedo tener ataques de ansiedad (o pánico).
SCARED,My child worries that something bad might happen to his/her parents,Le preocupa que algo malo le pueda pasar a sus padres.,A mi niño/a le preocupa que algo malo le pueda pasar a sus padres.,N/A,A mi niño/a le preocupa que algo malo le pueda pasar a sus padres.
SCARED,My child feels shy with people he/she doesn't know well,Le da vergüenza cuando esta con personas que no conoce.,Mi niño/a se siente tímido/a con personas que no conoce bien.,N/A,Mi niño/a se siente tímido/a con personas que no conoce bien.
SCARED,My child worries about what is going to happen in the future,Le preocupa que le va a pasar en el futuro.,A mi niño/a le preocupa lo que vaya a pasar en el futuro.,N/A,A mi niño/a le preocupa lo que vaya a pasar en el futuro.
SCARED,"When my child gets frightened, he/she feels like throwing up",Cuando tiene miedo le dan ganas de vomitar.,"Cuando mi niño/a se asusta, siente ganas de vomitar",N/A,"Cuando mi niño/a se asusta, siente ganas de vomitar"
SCARED,My child worries about how well he/she does things,Le preocupa saber si está haciendo las cosas bien.,A mi niño/a le preocupa qué tan bien hace las cosas.,N/A,A mi niño/a le preocupa qué tan bien hace las cosas.
SCARED,My child is scared to go to school,Tiene miedo de ir al colegio.,A mi niño/a le asusta ir al colegio.,Mi niño/a tiene miedo de ir al colegio.,Mi niño/a tiene miedo de ir a la escuela.
SCARED,My child worries about things that have already happened,Le preocupan las cosas que ya han pasado.,Mi niño/a se preocupa por cosas que ya pasaron.,N/A,Mi niño/a se preocupa por cosas que ya pasaron.
SCARED,"When my child gets frightened, he/she feels dizzy","Cuando tiene miedo, se siente mareado(a).","Cuando mi niño/a se asusta, se siente mareado/a.",N/A,"Cuando mi niño/a se asusta, se siente mareado/a."
SCARED,"My child feels nervous when he/she is with other children or adults and he/she has to do something while they watch him/her (for example: read aloud, speak, play a game, play a sport)","Se siente nervioso(a) cuando tiene que hacer algo delante de otros niños o adultos (por ejemplo: leer en voz alta, hablar, jugar).","Mi niño/a se siente nervioso cuando está con otros niños o adultos y tiene que hacer algo mientras le observan (por ejemplo: leer en voz alta, hablar, jugar un juego, jugar un deporte).",N/A,"Mi niño/a se siente nervioso cuando está con otros niños o adultos y tiene que hacer algo mientras le observan (por ejemplo: leer en voz alta, hablar, jugar un juego, jugar un deporte)."
SCARED,"My child feels nervous when he/she is going to parties, dances, or any place where there will be people that he/she doesn't know well","Se siente nervioso(a) de ir a fiestas, bailes, o alguna parte donde hay gente que no conoce.","Mi niño/a se siente nervioso cuando va a fiestas, bailes, o cualquier lugar donde habrá gente que no conoce bien.",N/A,"Mi niño/a se siente nervioso cuando va a fiestas, bailes, o cualquier lugar donde habrá gente que no conoce bien."
SCARED,My child is shy,Mi hijo(a) es tímido(a).,Mi niño/a es tímido/a.,N/A,Mi niño/a es tímido/a.