measure,english,draft_esla,edited_esla,esla_for_backtranslation,backtranslated_esla,reconciled_esla,final_esla
TEXI Self-Report,TEENAGE EXECUTIVE FUNCTIONING INVENTORY (TEXI),CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES,n/a,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES,QUESTIONNAIRE FOR ADOLESCENTS ABOUT EXECUTIVE FUNCTIONING,Questionnaire v inventory? TEXI acronym?,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES (TEXI)
TEXI Self-Report,SELF-REPORT,MEDIDA DE AUTO-INFORME,REPORTE-PROPIO,REPORTE-PROPIO,SELF-REPORT,n/a,REPORTE-PROPIO
TEXI Self-Report,Below are some statements about how you are as a person.," A continuación, va a encontrar una serie de afirmaciones sobre cómo eres como persona.","A continuación, encontrará una serie de declaraciones sobre cómo eres como persona. ","A continuación, encontrará una serie de declaraciones sobre cómo eres como persona. ","Continuing, you will encounter a series of statements about how you are as a person",n/a,"A continuación, encontrará una serie de declaraciones sobre cómo eres como persona. "
TEXI Self-Report,Mark your answer by circling one of the numbers to the right of each statement.,Señale su respuesta redondeando con un circulo uno de los números a la derecha de cada afirmación. ,Circule uno de los numeros para señalar su respuesta a la derecha de cada declaración. ,Circule uno de los números para señalar su respuesta a la derecha de cada declaración. ,"Circle one of the numbers, signalling your response, to the right of each statement",n/a,Circule uno de los números para señalar su respuesta a la derecha de cada declaración. 
TEXI Self-Report,"Perhaps others feel differently, but we want to know what you think about yourself.","Puede que otros se sientan diferente, pero queremos saber lo que piensa de usted mismo.",n/a,"Puede que otros se sientan diferente, pero queremos saber lo que piensa de usted mismo.","Perhaps others feel differently, but we want to know what you think about yourself.",n/a,"Puede que otros se sientan diferente, pero queremos saber lo que piensa de usted mismo."
TEXI Self-Report,Try to answer as honestly as possible.,Trate de responder honestamente.,n/a,Trate de responder honestamente.,Try to answer as honestly as possible,n/a,Trate de responder honestamente.
TEXI Self-Report,Definitely not true,Definitivamente no es cierto,n/a,Definitivamente no es cierto,Definitely not true,n/a,Definitivamente no es cierto
TEXI Self-Report,Not true,No es cierto,n/a,No es cierto,Not true,n/a,No es cierto
TEXI Self-Report,Partially true,Mas o menos cierto,n/a,Mas o menos cierto,More or less true,n/a,Mas o menos cierto
TEXI Self-Report,TRUE,Cierto,n/a,Cierto,True.,n/a,Cierto
TEXI Self-Report,Definitely true,Definitivamente cierto,n/a,Definitivamente cierto,Definitely true,n/a,Definitivamente cierto
TEXI Self-Report,I have difficulty remembering long instructions,Me cuesta recordar instrucciones largas,Tengo dificultades recordando instrucciones largas. ,Tengo dificultades recordando instrucciones largas. ,I have difficulty remembering lengthy instructions,n/a,Tengo dificultades recordando instrucciones largas. 
TEXI Self-Report,I sometimes have difficulty remembering what I need to do in the middle of an activity,A veces me cuesta recordar lo que tengo que hacer cuando estoy en medio de una actividad,A veces tengo dificultad recordando lo que tengo que hacer cuando estoy en medio de una actividad. ,A veces tengo dificultad recordando lo que tengo que hacer cuando estoy en medio de una actividad. ,I sometimes have difficullty remembering what I have to do when I'm in the middle of an activity,n/a,A veces tengo dificultad recordando lo que tengo que hacer cuando estoy en medio de una actividad. 
TEXI Self-Report,I do things without first thinking about what could happen,Hago las cosas sin antes pensar sobre las consecuencias,Hago las cosas sin pensar primero en lo que pueda pasar.,Hago las cosas sin pensar primero en lo que pueda pasar.,I do things without first thinking of what could happen,n/a,Hago las cosas sin pensar primero en lo que pueda pasar.
TEXI Self-Report,I sometimes have difficulty stopping myself from doing things even though I know it’s not allowed,A veces tengo dificultades para dejar de hacer cosas a pesar de que me digan que no lo debo hacer,"A veces tengo dificultades para dejar de hacer cosas, aun sabiendo que no esta permitido.","A veces tengo dificultad para dejar de hacer cosas, aun sabiendo que no esta permitido.","I sometimes have difficulty stopping myself from doing things, despite knowing it's not allowed.",n/a,"A veces tengo dificultad para dejar de hacer cosas, aun sabiendo que no esta permitido."
TEXI Self-Report,"When someone asks me to do several things, I sometimes cannot remember all of them","Cuando me piden que haga varias cosas, a veces no recuerdo todas",n/a,"Cuando me piden que haga varias cosas, a veces no recuerdo todas","When asked to do several things, I sometimes don't remember everything",n/a,"Cuando me piden que haga varias cosas, a veces no recuerdo todas."
TEXI Self-Report,I sometimes cannot stop myself from laughing or smiling even though I know that it is inappropriate at the time,"A veces tengo dificultades en evitar reír o sonreír, a pesar de que sé que la situación es inapropiada.",A veces no puedo evitar reír o sonreír aunque sé que es   inapropiado.,A veces no puedo evitar reír o sonreír aunque sé que es inapropiado.,I sometimes can't avoid laughing or smiling despite knowing it's innappropriate,n/a,A veces no puedo evitar reír o sonreír aunque sé que es inapropiado.
TEXI Self-Report,I have difficulty coming up with a new way to solve a problem when I get stuck,Tengo dificultad en encontrar una nueva solución para resolver un problema cuando me bloqueo.,n/a,Tengo dificultad en encontrar una nueva solución para resolver un problema cuando me bloqueo.,I have difficulty coming up with a new solution to a problem when I'm stuck,n/a,Tengo dificultad en encontrar una nueva solución para resolver un problema cuando me bloqueo.
TEXI Self-Report,"When I am asked to get something, I sometimes forget what I was supposed to get","Cuando alguien me pide que le traiga algo, a veces se me olvida lo que tenia que traer.",n/a,"Cuando alguien me pide que le traiga algo, a veces se me olvida lo que tenia que traer.","When someone asks me to bring them something, I sometimes forget what I have to bring",n/a,"Cuando alguien me pide que le traiga algo, a veces se me olvida lo que tenia que traer."
TEXI Self-Report,"I find it difficult to plan things (e.g., remembering to bring everything necessary for school or when going on a trip)","Me cuesta planear cosas (por ejemplo, recordar llevar todo lo necesario para ir a la escuela o cuando me voy de viaje)","Encuentro difícil planificar cosas (por ejemplo, recordar llevar todo lo necesario para ir a la escuela o cuando me voy de viaje)","Encuentro difícil planificar cosas (por ejemplo, recordar llevar todo lo necesario para ir a la escuela o cuando me voy de viaje)","I find it difficult to plan things (for example, remembering to bring everything necessary to go to school or when going on a trip)",n/a,"Encuentro difícil planificar cosas (por ejemplo, recordar llevar todo lo necesario para ir a la escuela o cuando me voy de viaje)."
TEXI Self-Report,"I find it difficult to make myself stop an activity that I like (e.g., I sit in front of the computer or mobile device even though it is time to go to bed)","A veces tengo dificultades para acabar una actividad que me gusta (por ejemplo, ver la televisión o el celular, a pesar de que es hora de irse a la cama)","Encuentro difícil dejar de hacer una actividad que me gusta (por ejemplo, ver la televisión o el celular, aunque sea hora de irse a la cama)","Encuentro difícil dejar de hacer una actividad que me gusta (por ejemplo, ver la televisión o el celular, aunque sea hora de irse a la cama)","I find it difficult to stop doing an activity I like (for example, watching television or using the phone despite it being bedtime)",n/a,"Encuentro difícil dejar de hacer una actividad que me gusta (por ejemplo, ver la televisión o el celular, aunque sea hora de irse a la cama)."
TEXI Self-Report,I sometimes have difficulty understanding instructions unless I am shown how to do something,A veces tengo dificultades para entender instrucciones a menos que me muestren cómo hacerlo.,A veces tengo dificultad entendiendo instrucciones a menos que me muestren cómo hacerlo. ,A veces tengo dificultad entendiendo instrucciones a menos que me muestren cómo hacerlo. ,I sometimes have difficulty understanding instructions unless I am shown how to do them,n/a,A veces tengo dificultad entendiendo instrucciones a menos que me muestren cómo hacerlo. 
TEXI Self-Report,I have difficulty with tasks involving several steps that need to be completed in a certain order,Tengo dificultad con las labores que incluyen varios pasos en las que debo seguir un orden concreto.,Tengo dificultad con las labores que incluyen varios pasos que se tenien que completar en un cierto orden.,Tengo dificultad con las labores que incluyen varios pasos que se tienen que completar en un cierto orden.,I have difficulties with tasks involving several steps that have to be completed in a certain order,n/a,Tengo dificultad con las labores que incluyen varios pasos que se tienen que completar en un cierto orden.
TEXI Self-Report,I have difficulty learning from my mistakes (I repeat the same mistake over and over again),Tengo dificultad en aprender de mis errores (repito los mismos errores una y otra vez). ,Tengo dificultad aprendiendo de mis errores (repito los mismos errores una y otra vez). ,Tengo dificultad aprendiendo de mis errores (repito los mismos errores una y otra vez). ,I have difficulty learning from my mistakes (I repeat the same mistakes over and over again),n/a,Tengo dificultad aprendiendo de mis errores (repito los mismos errores una y otra vez). 
TEXI Self-Report,People that I meet sometimes seem to think that I am more lively/wild compared to others my age,Las personas recién conocidas suelen pensar que soy más “alocada” en comparación con otros de mi edad.,n/a,Las personas recién conocidas suelen pensar que soy más “alocada” en comparación con otros de mi edad.,"People who I meet usually think that I'm more ""crazy"" in comparison to others my age","Connotation of ""alocada""? -- ok, but o/a",Las personas recién conocidas suelen pensar que soy más “alocado/a” en comparación con otros de mi edad.
TEXI Self-Report,I have difficulty motivating myself to do things that I do not like to do,Tengo dificultad en auto-motivarme para ciertas cosas que no me gusta hacer.,Tengo dificultad en motivarme para ciertas cosas que no me gustan hacer.,Tengo dificultad en motivarme para ciertas cosas que no me gustan hacer.,I have difficulty motivating myself for certain things that I don't like doing,Certain?,Tengo dificultad en motivarme para hacer cosas qué no me gustan.
TEXI Self-Report,"I find it difficult to start a task if I am distracted by something more fun (e.g., I fail to start doing my homework and instead use my mobile device)","Tengo dificultad en empezar una labor si me distraigo con algo mas divertido (por ejemplo, en vez de empezar mis tareas, utilizo mi celular)",n/a,"Tengo dificultad en empezar una labor si me distraigo con algo mas divertido (por ejemplo, en vez de empezar mis tareas, utilizo mi celular)","I have difficulty starting a task if I'm distracted by something more entertaining (for example, instead of starting my homework, I use my phone)",n/a,"Tengo dificultad en empezar una labor si me distraigo con algo mas divertido (por ejemplo, en vez de empezar mis tareas, utilizo mi celular)."
TEXI Self-Report,I have difficulty stopping an activity when asked to do so,Me resulta difícil dejar una actividad cuando se me ordena,Me resulta difícil dejar una actividad cuando se me pide,Me resulta difícil dejar una actividad cuando se me pide,I find it difficult leaving an activity when asked to do so,Leaving v stopping?,Me resulta difícil parar una actividad cuando se me pide.
TEXI Self-Report,"I often get more excited compared to others my age if something special happens (e.g., parties, trips, birthdays, winning a game)","Frecuentemente me entusiasmo mas en comparación con personas de mi edad cuando algo especial ocurre (por ejemplo, fiestas, viajes, cumpleaños, ganar un juego)",n/a,"Frecuentemente me entusiasmo mas en comparación con personas de mi edad cuando algo especial ocurre (por ejemplo, fiestas, viajes, cumpleaños, ganar un juego)","I frequently get more enthusiastic compared to others my age when something special happens (for example, parties, trips, birthdays, winning a game)",n/a,"Frecuentemente me entusiasmo mas en comparación con personas de mi edad cuando algo especial ocurre (por ejemplo, fiestas, viajes, cumpleaños, ganar un juego)."
TEXI Self-Report,I fail to finish things that I have started,No termino las labores que ya empece.,n/a,No termino las labores que ya empece.,I don't finish tasks that I've started,n/a,No termino las labores que ya empecé.
TEXI Self-Report,I put things off until the last minute,Dejo las labores para el ultimo momento.,n/a,Dejo las labores para el ultimo momento.,I leave things until the last moment,n/a,Dejo las labores para el ultimo momento.
TEXI Other-Report,TEENAGE EXECUTIVE FUNCTIONING INVENTORY (TEXI),CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES,n/a,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES,QUESTIONNAIRE FOR ADOLESCENTS ABOUT EXECUTIVE FUNCTIONING,Questionnaire v inventory? TEXI acronym?,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES (TEXI)
TEXI Other-Report,PARENTS AND TEACHERS,PADRES Y PROFESORES,n/a,PADRES Y PROFESORES,PARENTS AND PROFESSORS,"Teacher v professor? -- ok, no change needed.",PADRES Y PROFESORES
TEXI Other-Report,"Below, you will find a number of statements. ","A continuación, va a encontrar una serie de afirmaciones.","A continuación, va a encontrar una serie de declaraciones.","A continuación, va a encontrar una serie de declaraciones.","Continuing, you will encounter a series of statements.",n/a,"A continuación, va a encontrar una serie de declaraciones."
TEXI Other-Report,Please read each statement carefully and thereafter indicate the degree to which that statement is true for the child in question. ,Por favor lea cada afirmación cuidadosamente y después indique el nivel de certeza de cada afirmación en relación al niño en cuestión. ,Por favor lea cada declaracion cuidadosamente y después indique el nivel de certeza de cada declaracion en relación al niño en cuestión. ,Por favor lea cada declaración cuidadosamente y después indique el nivel de certeza de cada afirmación en relación al niño en cuestión. ,Please read each statement carefully and then indicate the degree to which each statement is true for the child in question.,n/a,Por favor lea cada declaración cuidadosamente y después indique el nivel de certeza de cada afirmación en relación al niño en cuestión. 
TEXI Other-Report, You indicate your response by circling one of the numbers (from 1 to 5) after each statement.,Marque su respuesta circulando uno de los números (del 1 al 5) después de cada afirmación. ,Marque su respuesta circulando uno de los números (del 1 al 5) después de cada declaracion. ,Marque su respuesta circulando uno de los números (del 1 al 5) después de cada declaración. ,Mark your response by circling one of the numbers (from 1 to 5) after each statement.,n/a,Marque su respuesta circulando uno de los números (del 1 al 5) después de cada declaración. 
TEXI Other-Report,Definitely not true,Definitivamente no es cierto,n/a,Definitivamente no es cierto,Definitely not true,n/a,Definitivamente no es cierto
TEXI Other-Report,Not true,No es cierto,n/a,No es cierto,Not true,n/a,No es cierto
TEXI Other-Report,Partially true,Mas o menos cierto,n/a,Mas o menos cierto,More or less true,n/a,Mas o menos cierto
TEXI Other-Report,TRUE,Cierto,n/a,Cierto,True.,n/a,Cierto
TEXI Other-Report,Definitely true,Definitivamente cierto,n/a,Definitivamente cierto,Definitely true,n/a,Definitivamente cierto
TEXI Other-Report,Has difficulty remembering lengthy instructions,Tiene dificultades en recordar instrucciones largas.,n/a,Tiene dificultades en recordar instrucciones largas.,Has difficulties in remembering lengthy instructions,n/a,Tiene dificultades en recordar instrucciones largas.
TEXI Other-Report,Sometimes has difficulty remembering what he/she needs to do in the middle of an activity,A veces tiene dificultades en recordar lo que el/ella tiene que hacer en mitad de una actividad.,n/a,A veces tiene dificultades en recordar lo que el/ella tiene que hacer en mitad de una actividad.,Sometimes has difficulty remembering what he/she has to do in the middle of an activity,n/a,A veces tiene dificultades en recordar lo que el/ella tiene que hacer en mitad de una actividad.
TEXI Other-Report,Has a tendency to do things without first thinking about what could happen,Tiene tendencias a hacer cosas sin primero pensar en las consecuencias.,Tiende a hacer cosas sin primero pensar.,Tiende a hacer cosas sin primero pensar.,Tends to do things without thinking,"Any concept of ""consequences""?",Tiende a hacer cosas sin primero pensar en las consecuencias.
TEXI Other-Report,Has difficulty stopping an activity even though he/she is told that the activity is not allowed,Tiene dificultades en acabar una actividad a pesar de que se le ha advertido a el/ella de que esa actividad no esta permitida.,n/a,Tiene dificultades en acabar una actividad a pesar de que se le ha advertido a el/ella de que esa actividad no esta permitida.,Has difficulties stopping an activity even though he/she has been told it is not allowed,n/a,Tiene dificultades en acabar una actividad a pesar de que se le ha advertido a el/ella de que esa actividad no esta permitida.
TEXI Other-Report,"When someone asks him/her to do several things, he/she sometimes cannot remember all of them","Cuando alguien le pide a el/ella hacer varias cosas, a veces el/ella no las recuerda todas.",n/a,"Cuando alguien le pide a el/ella hacer varias cosas, a veces el/ella no las recuerda todas.","When someone asks him/her to do several things, he/she sometimes doesn't remember all of them",n/a,"Cuando alguien le pide a el/ella hacer varias cosas, a veces el/ella no las recuerda todas."
TEXI Other-Report,Sometimes has difficulty refraining from laughing or smiling in situations where it is inappropriate,A veces tiene dificultad en evitar reír o sonreír en situaciones que no son apropiadas.,n/a,A veces tiene dificultad en evitar reír o sonreír en situaciones que no son apropiadas.,Sometimes has difficulties refraining from laughing or smiling in situations where it's not appropriate,n/a,A veces tiene dificultad en evitar reír o sonreír en situaciones que no son apropiadas.
TEXI Other-Report,Finds it difficult to come up with a new way to solve a problem when he/she gets stuck,Tiene dificultad en encontrar una nueva solución a un problema cuando el/ella esta bloqueado/a,n/a,Tiene dificultad en encontrar una nueva solución a un problema cuando el/ella esta bloqueado/a,Has difficulties coming up with a new solution to a problem when he/she gets stuck,n/a,Tiene dificultad en encontrar una nueva solución a un problema cuando el/ella esta bloqueado/a.
TEXI Other-Report,"When asked to get something, he/she sometimes forgets what he/she is supposed to get","Cuando alguien le pide que le traiga algo, a veces se le olvida lo que tenia que traer.",n/a,"Cuando alguien le pide que le traiga algo, a veces se le olvida lo que tenia que traer.","When asked to get something, he/she sometimes forgets what he/she has to get",n/a,"Cuando alguien le pide que le traiga algo, a veces se le olvida lo que tenia que traer."
TEXI Other-Report,"Finds it difficult to plan things (e.g., remembering to bring everything necessary for school or when going on a trip)","Le cuesta planear cosas (por ejemplo, recordar llevar todo lo necesario para ir a la escuela o cuando se va de viaje)","Encuentra difícil planear cosas (por ejemplo, recordar llevar todo lo necesario para ir a la escuela o cuando se va de viaje)","Encuentra difícil planear cosas (por ejemplo, recordar llevar todo lo necesario para ir a la escuela o cuando se va de viaje)",Finds it difficult planning things (for example. remembering to bring everything necessary to go to school or when going on a trip),n/a,"Encuentra difícil planear cosas (por ejemplo, recordar llevar todo lo necesario para ir a la escuela o cuando se va de viaje)."
TEXI Other-Report,"Has difficulty stopping him-/herself during an activity he/she likes (e.g., sits in front of the computer/mobile device even though it is time to go to bed)","A veces tiene dificultades para acabar una actividad que le gusta (por ejemplo, se sienta delante de la computadora/celular, a pesar de que es hora de irse a la cama)",n/a,"A veces tiene dificultades para acabar una actividad que le gusta (por ejemplo, se sienta delante de la computadora/celular, a pesar de que es hora de irse a la cama)","Sometimes has difficulties in stopping an activity he/she likes (for example, sitting in front of a computer/phone even though it's time to go to bed)","No sense of ""sometimes"" in the source?","Tiene dificultad para dejar de hacer una actividad que le gusta (por ejemplo, se sienta delante de la computadora/celular, a pesar de que es hora de irse a la cama)."
TEXI Other-Report,Sometimes has difficulty understanding instructions unless he/she is also shown how to do something,A veces tiene dificultades para entender instrucciones a menos que le muestren cómo hacerlas.,A veces tiene dificultades entendiendo instrucciones a menos que le muestren cómo hacerlas.,A veces tiene dificultades entendiendo instrucciones a menos que le muestren cómo hacerlas.,Sometimes has difficulties understanding instructions unless he/she is shown how to do it,n/a,A veces tiene dificultades entendiendo instrucciones a menos que le muestren cómo hacerlas.
TEXI Other-Report,Has difficulty with tasks involving several steps that need to be completed in a certain order,Tiene dificultades con las labores que incluyen varios pasos en las que debe seguir un orden concreto.,Tiene dificultad con las labores que incluyen varios pasos que se tenien que completar en un cierto orden.,Tiene dificultad con las labores que incluyen varios pasos que se tienen que completar en un cierto orden,Has difficulties with tasks including several steps that have to be completed in a certain order,n/a,Tiene dificultad con las labores que incluyen varios pasos que se tienen que completar en un cierto orden.
TEXI Other-Report,"Has difficulty learning from his/her own mistakes (e.g., repeats the same mistake over and over again)",Tiene dificultades en aprender de sus mismos errores (repite los mismos errores una y otra vez). ,Tiene dificultades en aprender de sus propios errores (repite los mismos errores una y otra vez). ,Tiene dificultad en aprender de sus propios errores (repite los mismos errores una y otra vez).,Has difficulties learning from his/her own mistakes (repeats the same mistakes over and over again),"Missing ""e.g.""?","Tiene dificultad en aprender de sus propios errores (por ejemplo, repite los mismos errores una y otra vez)."
TEXI Other-Report,Appears to be more lively/wild than his/her peers,Aparenta ser más “alocado/a” que sus compañeros. ,n/a,Aparenta ser más “alocado/a” que sus compañeros. ,"Appears more ""crazy"" compared to his/her peers","Connotation of ""alocada""? -- ok, no change needed",Aparenta ser más “alocado/a” que sus compañeros. 
TEXI Other-Report,Has difficulty motivating him-/herself to do things that he/she does not like to do,Tiene dificultad en auto-motivarse para ciertas cosas que no le gusta hacer.,Tiene dificultad en motivarse para ciertas cosas que no le gustan hacer.,Tiene dificultad en motivarse para ciertas cosas que no le gusta hacer.,Has difficulty motivating his/herself to do certain things he/she does not like to do,Certain?,Tiene dificultad en auto-motivarse para hacer cosas que no le gustan hacer.
TEXI Other-Report,"Finds it difficult to start a task if distracted by something he/she likes (e.g., fails to start doing homework and instead uses his/her mobile device)","Tiene dificultad en empezar una labor si se distrae con algo mas divertido (por ejemplo, en vez de empezar sus tareas, utiliza su celular)",n/a,"Tiene dificultad en empezar una labor si se distrae con algo mas divertido (por ejemplo, en vez de empezar sus tareas, utiliza su celular)","Has difficulty in starting a task if he/she is distracted with something more entertaining (for example, instead of starting his/her homework, they use their phone)",n/a,"Tiene dificultad en empezar una labor si se distrae con algo mas divertido (por ejemplo, en vez de empezar sus tareas, utiliza su celular)."
TEXI Other-Report,Has difficulty stopping an activity when asked to do so,Le resulta difícil acabar una actividad cuando se le ordena,Le resulta difícil acabar una actividad cuando se le pide,Le resulta difícil acabar una actividad cuando se le pide,Find it difficult stopping an activity when asked to do so,Dejar v parar v acabar?,Le resulta difícil parar una actividad cuando se le pide.
TEXI Other-Report,"Often get more excited than his/her peers if something special happens (e.g., parties, trips, birthdays, winning a game)","Frecuentemente se entusiasma mas en comparación con personas de su edad cuando algo especial ocurre (por ejemplo, fiestas, viajes, cumpleaños, ganar un juego)",n/a,"Frecuentemente se entusiasma mas en comparación con personas de su edad cuando algo especial ocurre (por ejemplo, fiestas, viajes, cumpleaños, ganar un juego)","Frequently gets more excited when compared to his/her peers when something special occurs (for example, parties, trips, birthdays, winning a game)",n/a,"Frecuentemente se entusiasma mas en comparación con personas de su edad cuando algo especial ocurre (por ejemplo, fiestas, viajes, cumpleaños, ganar un juego)."
TEXI Other-Report,Fails to finish things that he/she has started,No termina las labores que ya empezó. ,n/a,No termina las labores que ya empezó. ,Fails to finish tasks he/she starts,n/a,No termina las labores que ya empezó. 
TEXI Other-Report,Puts things off until the last minute,Deja las labores para el ultimo momento.,n/a,Deja las labores para el ultimo momento.,Leaves things until the last moment,n/a,Deja las labores para el ultimo momento.