measure,english,draft_and_edited_eseu,backtranslated_eseu,reconciled_eseu,final_eseu,revised_english,revised_eseu,
TEXI Self-Report,TEENAGE EXECUTIVE FUNCTIONING INVENTORY (TEXI),INVENTARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES (TEXI),INVENTORY OF EXECUTIVE FUNCTIONING FOR ADOLESCENTS (TEXI),n/a,INVENTARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES (TEXI),,,
TEXI Self-Report,SELF-REPORT,VERSIÓN AUTO-INFORME,SELF-REPORT VERSION,n/a,VERSIÓN AUTO-INFORME,,,
TEXI Self-Report,Below are some statements about how you are as a person.,"A continuación, va a encontrar una serie de afirmaciones sobre cómo eres como persona.","Continuing, you will encounter a series of statements about how you are as a person",n/a,"A continuación, va a encontrar una serie de afirmaciones sobre cómo eres como persona.",,,
TEXI Self-Report,Mark your answer by circling one of the numbers to the right of each statement.,Marque su respuesta redondeando con un circulo uno de los números a la derecha de cada afirmación.  ,Mark your response by circling one of the numbers to the right of each statement,n/a,Marque su respuesta redondeando con un circulo uno de los números a la derecha de cada afirmación.  ,,,
TEXI Self-Report,"Perhaps others feel differently, but we want to know what you think about yourself.","Quizás otros se sientan diferente, pero queremos saber lo que piensa de usted mismo.","Perhaps others may feel differently, but we want to know what you think about yourself.",n/a,"Quizás otros se sientan diferente, pero queremos saber lo que piensa de usted mismo.",,,
TEXI Self-Report,Try to answer as honestly as possible.,Intenta responder lo más sincero posible.,Try to respond as sincerely as possible,n/a,Intenta responder lo más sincero posible.,,,
TEXI Self-Report,Definitely not true,Definitivamente no es cierto,Definitely not true,n/a,Definitivamente no es cierto,,,
TEXI Self-Report,Not true,No es cierto,Not true,n/a,No es cierto,,,
TEXI Self-Report,Partially true,Parcialmente cierto,Partially true,n/a,Parcialmente cierto,,,
TEXI Self-Report,TRUE,Cierto,True.,n/a,Cierto,,,
TEXI Self-Report,Definitely true,Definitivamente cierto,Definitely true,n/a,Definitivamente cierto,,,
TEXI Self-Report,I have difficulty remembering long instructions,Tengo dificultades para recordar instrucciones largas.,I have difficulty remembering lengthy instructions,n/a,Tengo dificultades para recordar instrucciones largas.,,,
TEXI Self-Report,I sometimes have difficulty remembering what I need to do in the middle of an activity,A veces tengo dificultad para recordar lo que tengo que hacer en medio de una actividad.,I sometimes have difficulty remembering what I have to do in the middle of an activity,n/a,A veces tengo dificultad para recordar lo que tengo que hacer en medio de una actividad.,I have difficulty remembering what I need to do in the middle of an activity,Tengo dificultad para recordar lo que tengo que hacer en medio de una actividad.,x
TEXI Self-Report,I do things without first thinking about what could happen,Hago cosas sin primero pensar en las consecuencias.,I do things without first thinking of the consequences.,n/a,Hago cosas sin primero pensar en las consecuencias.,,,
TEXI Self-Report,I sometimes have difficulty stopping myself from doing things even though I know it’s not allowed,A veces tengo dificultad para dejar de hacer cosas a pesar de que no estén permitidas. ,"I sometimes have diffiulty stopping myself from doing things, despite knowing it's not allowed.",n/a,A veces tengo dificultad para dejar de hacer cosas a pesar de que no estén permitidas. ,I have difficulty stopping myself from doing things even though I know it’s not allowed,Tengo dificultad para dejar de hacer cosas a pesar de que no estén permitidas. ,x
TEXI Self-Report,"When someone asks me to do several things, I sometimes cannot remember all of them","Cuando alguien me pide que haga varias cosas, a veces no recuerdo todas.","When someone asks me to do several things, I sometimes don't remember all of it",n/a,"Cuando alguien me pide que haga varias cosas, a veces no recuerdo todas.","When someone asks me to do several things, I cannot remember all of them","Cuando alguien me pide que haga varias cosas, no recuerdo todas.",x
TEXI Self-Report,I sometimes cannot stop myself from laughing or smiling even though I know that it is inappropriate at the time,"A veces tengo dificultad en evitar reír o sonreír, a pesar de que sé que la situación es inapropiada.","I sometimes have difficulty avoiding laughing or smiling, despite knowing it's inappropriate in a situation",n/a,"A veces tengo dificultad en evitar reír o sonreír, a pesar de que sé que la situación es inapropiada.",I cannot stop myself from laughing or smiling even though I know that it is inappropriate at the time,"Tengo dificultad en evitar reír o sonreír, a pesar de que sé que la situación es inapropiada.",x
TEXI Self-Report,I have difficulty coming up with a new way to solve a problem when I get stuck,Tengo dificultad en encontrar una nueva solución para resolver un problema cuando me bloqueo.,I have difficulty coming up with a new solution to a problem when I'm stuck,n/a,Tengo dificultad en encontrar una nueva solución para resolver un problema cuando me bloqueo.,,,
TEXI Self-Report,"When I am asked to get something, I sometimes forget what I was supposed to get","Cuando alguien me pide que le traiga algo, a veces se me olvida lo que tenia que traer.","When someone asks me to bring them something, I sometimes forget what I have to bring",n/a,"Cuando alguien me pide que le traiga algo, a veces se me olvida lo que tenia que traer.","When I am asked to get something, I forget what I was supposed to get","Cuando alguien me pide que le traiga algo, se me olvida lo que tenia que traer.",x
TEXI Self-Report,"I find it difficult to plan things (e.g., remembering to bring everything necessary for school or when going on a trip)","Encuentro difícil planear cosas (por ejemplo, recordar llevar todo lo necesario para ir al colegio o cuando me voy de viaje)","I find it difficult to plan things (for example, remembering to bring everything necessary to go to school or when going on a trip)",n/a,"Encuentro difícil planear cosas (por ejemplo, recordar llevar todo lo necesario para ir al colegio o cuando me voy de viaje).",,,
TEXI Self-Report,"I find it difficult to make myself stop an activity that I like (e.g., I sit in front of the computer or mobile device even though it is time to go to bed)","A veces tengo dificultad para acabar una actividad que me gusta (por ejemplo, ver la televisión o el móvil, a pesar de que es hora de irse a la cama)","I sometimes have difficulty stopping an activity that I like (for example, watching television or a movie, despite knowing it's time to go to bed)","Back-trans error: source=computer/mobile, backtrans=tv/movie -- no change needed","A veces tengo dificultad para acabar una actividad que me gusta (por ejemplo, ver la televisión o el móvil, a pesar de que es hora de irse a la cama).",(no change),"A veces tengo dificultad para acabar una actividad que me gusta (por ejemplo, ver la televisión o el móvil, a pesar de que es hora de irse a la cama).",x
TEXI Self-Report,I sometimes have difficulty understanding instructions unless I am shown how to do something,A veces tengo dificultad para entender instrucciones a menos que me enseñen cómo hacerlo.,I sometimes have difficulties understanding instructions unless I'm shown how to do them,n/a,A veces tengo dificultad para entender instrucciones a menos que me enseñen cómo hacerlo.,I have difficulty understanding instructions unless I am shown how to do something,Tengo dificultad para entender instrucciones a menos que me enseñen cómo hacerlo.,x
TEXI Self-Report,I have difficulty with tasks involving several steps that need to be completed in a certain order,Tengo dificultad con las labores que incluyen varios pasos en las que debo seguir un orden concreto.,I have difficulties with tasks that include several steps I have to follow in a correct order,n/a,Tengo dificultad con las labores que incluyen varios pasos en las que debo seguir un orden concreto.,,,
TEXI Self-Report,I have difficulty learning from my mistakes (I repeat the same mistake over and over again),Tengo dificultad en aprender de mis errores (repito los mismos errores una y otra vez). ,I have difficulty learning from my mistakes (I repeat the same mistakes over and over again),n/a,Tengo dificultad en aprender de mis errores (repito los mismos errores una y otra vez). ,,,
TEXI Self-Report,People that I meet sometimes seem to think that I am more lively/wild compared to others my age,Las personas recién conocidas suelen pensar que soy mas “rebelde” en comparación con otros de mi edad.,"People who I meet usually think that I'm more ""rebellious"" in comparison to others my age","Check ""rebellious""?",Las personas recién conocidas suelen pensar que soy mas “alocado/a” en comparación con otros de mi edad.,People that I meet seem to think that I am more lively/wild compared to others my age,Las personas recién conocidas suelen pensar que soy mas “alocado/a” en comparación con otros de mi edad.,x
TEXI Self-Report,I have difficulty motivating myself to do things that I do not like to do,Tengo dificultad en auto-motivarme para ciertas cosas que no me gusta hacer.,I have difficulity motivating myself for certain things I don't like doing.,Certain?,Tengo dificultad en motivarme para hacer cosas qué no me gustan.,,,
TEXI Self-Report,"I find it difficult to start a task if I am distracted by something more fun (e.g., I fail to start doing my homework and instead use my mobile device)","Tengo dificultad en empezar una labor si me distraigo con algo mas divertido (por ejemplo, en vez de empezar mis tareas, utilizo mi móvil)","I have difficulties in starting a task if I'm distracted with something more entertaining (for example, instead of starting my homework, I use my phone)",n/a,"Tengo dificultad en empezar una labor si me distraigo con algo mas divertido (por ejemplo, en vez de empezar mis tareas, utilizo mi móvil).",,,
TEXI Self-Report,I have difficulty stopping an activity when asked to do so,Me resulta difícil dejar una actividad cuando se me ordena,I find it difficult to leave an activity when ordered to,Leaving v stopping (no change necessary); Ordered v asked?,Me resulta difícil dejar una actividad cuando se me pide.,,,
TEXI Self-Report,"I often get more excited compared to others my age if something special happens (e.g., parties, trips, birthdays, winning a game)","Frecuentemente me entusiasmo mas en comparación con personas de mi edad cuando algo especial ocurre (por ejemplo, fiestas, viajes, cumpleaños, ganar un juego)","I frequently get more enthusiastic in comparison to others my age when someone special happens (for example, parties, trips, birthdays, winning a game)",Back-trans error: someone special (v. something special) -- no change needed,"Frecuentemente me entusiasmo mas en comparación con personas de mi edad cuando algo especial ocurre (por ejemplo, fiestas, viajes, cumpleaños, ganar un juego).",,,
TEXI Self-Report,I fail to finish things that I have started,No termino las labores que empiezo.,I don't finish tasks that I start,n/a,No termino las labores que empiezo.,,,
TEXI Self-Report,I put things off until the last minute,Dejo las labores para el ultimo momento.,I leave things until the last moment,n/a,Dejo las labores para el ultimo momento.,,,
TEXI Other-Report,TEENAGE EXECUTIVE FUNCTIONING INVENTORY (TEXI),INVENTARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES (TEXI),INVENTORY OF EXECUTIVE FUNCTIONING FOR ADOLESCENTS (TEXI),n/a,INVENTARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADOLESCENTES (TEXI),,,
TEXI Other-Report,PARENTS AND TEACHERS,PADRES Y PROFESORES,PARENTS AND PROFESSORS,"Teacher v professor? -- ok, no change needed.",PADRES Y PROFESORES,,,
TEXI Other-Report,"Below, you will find a number of statements. ","A continuación, va a encontrar una serie de afirmaciones.","Continuing, you will encounter a series of statements",n/a,"A continuación, va a encontrar una serie de afirmaciones.",,,
TEXI Other-Report,Please read each statement carefully and thereafter indicate the degree to which that statement is true for the child in question. ,Por favor lea cada afirmación cuidadosamente y después indique el nivel de certeza de cada afirmación en relación al niño en cuestión. ,Please read each statement carefully and later indicate the degree to which each statement is true for the child in question,n/a,Por favor lea cada afirmación cuidadosamente y después indique el nivel de certeza de cada afirmación en relación al niño en cuestión. ,,,
TEXI Other-Report, You indicate your response by circling one of the numbers (from 1 to 5) after each statement.,Indique su respuesta circulando uno de los números (del 1 al 5) después de cada afirmación. ,Indicate your response by circling one of the numbers (from 1 to 5) after each statement,n/a,Indique su respuesta circulando uno de los números (del 1 al 5) después de cada afirmación. ,,,
TEXI Other-Report,Definitely not true,Definitivamente no es cierto,Definitely not true,n/a,Definitivamente no es cierto,,,
TEXI Other-Report,Not true,No es cierto,Not true,n/a,No es cierto,,,
TEXI Other-Report,Partially true,Parcialmente cierto,Partially true,n/a,Parcialmente cierto,,,
TEXI Other-Report,TRUE,Cierto,True.,n/a,Cierto,,,
TEXI Other-Report,Definitely true,Definitivamente cierto,Definitely true,n/a,Definitivamente cierto,,,
TEXI Other-Report,Has difficulty remembering lengthy instructions,Tiene dificultades en recordar instrucciones largas.,Has difficulties in remembering lengthy instructions,n/a,Tiene dificultades en recordar instrucciones largas.,,,
TEXI Other-Report,Sometimes has difficulty remembering what he/she needs to do in the middle of an activity,A veces tiene dificultades en recordar lo que el/ella tiene que hacer en mitad de una actividad.,Sometimes has difficulty remembering what he/she has to do in the middle of an activity,n/a,A veces tiene dificultades en recordar lo que el/ella tiene que hacer en mitad de una actividad.,Has difficulty remembering what he/she needs to do in the middle of an activity,Tiene dificultades en recordar lo que el/ella tiene que hacer en mitad de una actividad.,x
TEXI Other-Report,Has a tendency to do things without first thinking about what could happen,Tiene tendencia a hacer cosas sin primero pensar en las consecuencias.,Tends to do things without first thinking of the consequences,n/a,Tiene tendencia a hacer cosas sin primero pensar en las consecuencias.,,,
TEXI Other-Report,Has difficulty stopping an activity even though he/she is told that the activity is not allowed,Tiene dificultades en dejar una actividad a pesar de que se le ha advertido a el/ella de que esa actividad no esta permitida.,Has difficulties in leaving an activity despite he/she being told it is not allowed,Leaving v stopping -- no change necessary,Tiene dificultades en dejar una actividad a pesar de que se le ha advertido a el/ella de que esa actividad no esta permitida.,,,
TEXI Other-Report,"When someone asks him/her to do several things, he/she sometimes cannot remember all of them","Cuando alguien le pide a el/ella hacer varias cosas, a veces el/ella no las recuerda todas.","When someone asks him/her to do multiple things, he/she sometimes doesn't remember all of them",n/a,"Cuando alguien le pide a el/ella hacer varias cosas, a veces el/ella no las recuerda todas.","When someone asks him/her to do several things, he/she cannot remember all of them","Cuando alguien le pide a el/ella hacer varias cosas, el/ella no las recuerda todas.",x
TEXI Other-Report,Sometimes has difficulty refraining from laughing or smiling in situations where it is inappropriate,A veces tiene dificultad en evitar reír o sonreír en situaciones que no son apropiadas.,Sometimes has difficulties refraining from laughing or smiling in situations where it's not appropriate,n/a,A veces tiene dificultad en evitar reír o sonreír en situaciones que no son apropiadas.,Has difficulty refraining from laughing or smiling in situations where it is inappropriate,Tiene dificultad en evitar reír o sonreír en situaciones que no son apropiadas.,x
TEXI Other-Report,Finds it difficult to come up with a new way to solve a problem when he/she gets stuck,Tiene dificultad en encontrar una nueva solución a un problema cuando el/ella esta bloqueado/a,Has difficulties coming up with a new solution to a problem when he/she gets stuck,n/a,Tiene dificultad en encontrar una nueva solución a un problema cuando el/ella esta bloqueado/a.,,,
TEXI Other-Report,"When asked to get something, he/she sometimes forgets what he/she is supposed to get","Cuando alguien le pide que le traiga algo, a veces se le olvida lo que tenia que traer.","When asked to get something, he/she sometimes forgets what he/she has to get",n/a,"Cuando alguien le pide que le traiga algo, a veces se le olvida lo que tenia que traer.","When asked to get something, he/she forgets what he/she is supposed to get","Cuando alguien le pide que le traiga algo, se le olvida lo que tenia que traer.",x
TEXI Other-Report,"Finds it difficult to plan things (e.g., remembering to bring everything necessary for school or when going on a trip)","Encuentra difícil planear cosas (por ejemplo, recordar llevar todo lo necesario para ir al colegio o cuando se va de viaje)",Finds it difficult planning things (for example. remembering to bring everything necessary to go to school or when going on a trip),n/a,"Encuentra difícil planear cosas (por ejemplo, recordar llevar todo lo necesario para ir al colegio o cuando se va de viaje).",,,
TEXI Other-Report,"Has difficulty stopping him-/herself during an activity he/she likes (e.g., sits in front of the computer/mobile device even though it is time to go to bed)","A veces tiene dificultades para acabar una actividad que le gusta (por ejemplo, se sienta delante del ordenador/móvil, a pesar de que es hora de irse a la cama)","Sometimes has difficulties in stopping an activity he/she likes (for example, sitting in front of a computer/phone even though it's time to go to bed)","No sense of ""sometimes"" in the source?","Tiene dificultad para dejar de hacer una actividad que le gusta (por ejemplo, se sienta delante del ordenador/móvil, a pesar de que es hora de irse a la cama).",,,
TEXI Other-Report,Sometimes has difficulty understanding instructions unless he/she is also shown how to do something,A veces tiene dificultades para entender instrucciones a menos que le enseñen cómo hacerlas.,Sometimes has difficulties understanding instructions unless he/she is shown how to do it,n/a,A veces tiene dificultades para entender instrucciones a menos que le enseñen cómo hacerlas.,Has difficulty understanding instructions unless he/she is also shown how to do something,Tiene dificultades para entender instrucciones a menos que le enseñen cómo hacerlas.,x
TEXI Other-Report,Has difficulty with tasks involving several steps that need to be completed in a certain order,Tiene dificultades con las labores que incluyen varios pasos en las que debe seguir un orden concreto.,Has difficulties with tasks including several steps that have to be followed in a correct order,n/a,Tiene dificultades con las labores que incluyen varios pasos en las que debe seguir un orden concreto.,,,
TEXI Other-Report,"Has difficulty learning from his/her own mistakes (e.g., repeats the same mistake over and over again)",Tiene dificultades en aprender de sus propios errores (repite los mismos errores una y otra vez). ,Has difficulties learning from his/her own mistakes (repeats the same mistakes over and over again),"missing ""e.g.""","Tiene dificultades en aprender de sus propios errores (por ejemplo, repite los mismos errores una y otra vez). ",,,
TEXI Other-Report,Appears to be more lively/wild than his/her peers,Aparenta ser más “rebelde” que sus compañeros. ,"Appears more ""rebellious"" compared to his/her peers","Check ""rebellious""?",Aparenta ser más “alocado/a” que sus compañeros. ,,,
TEXI Other-Report,Has difficulty motivating him-/herself to do things that he/she does not like to do,Tiene dificultad en auto-motivarse para ciertas cosas que no le gusta hacer.,Has difficulty motivating his/herself to do certain things he/she does not like to do,Certain?,Tiene dificultad en auto-motivarse para hacer cosas que no le gustan hacer.,,,
TEXI Other-Report,"Finds it difficult to start a task if distracted by something he/she likes (e.g., fails to start doing homework and instead uses his/her mobile device)","Tiene dificultad en empezar una labor si se distrae con algo mas divertido (por ejemplo, en vez de empezar sus tareas, utiliza su móvil)","Has difficulty in starting a task if he/she is distracted with something more entertaining (for example, instead of starting his/her homework, using their phone)",n/a,"Tiene dificultad en empezar una labor si se distrae con algo mas divertido (por ejemplo, en vez de empezar sus tareas, utiliza su móvil).",,,
TEXI Other-Report,Has difficulty stopping an activity when asked to do so,Le resulta difícil dejar una actividad cuando se le ordena,Find it difficult stopping an activity when ordered to do so,Ordered v asked?,Le resulta difícil dejar una actividad cuando se le pide.,,,
TEXI Other-Report,"Often get more excited than his/her peers if something special happens (e.g., parties, trips, birthdays, winning a game)","Frecuentemente se entusiasma mas en comparación con personas de su edad cuando algo especial ocurre (por ejemplo, fiestas, viajes, cumpleaños, ganar un juego)","Frequently gets more excited when compared to his/her peers when something special occurs (for example, parties, trips, birthdays, winning a game)",n/a,"Frecuentemente se entusiasma mas en comparación con personas de su edad cuando algo especial ocurre (por ejemplo, fiestas, viajes, cumpleaños, ganar un juego).",,,
TEXI Other-Report,Fails to finish things that he/she has started,No termina las labores que empieza.,Fails to finish tasks he/she starts,n/a,No termina las labores que empieza.,,,
TEXI Other-Report,Puts things off until the last minute,Deja las labores para el ultimo momento.,Leaves things until the last moment,n/a,Deja las labores para el ultimo momento.,,,